Year,Model,Color,Base MSRP,Total MSRP,Selling Price,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,eta.currFromDate,eta.currToDate,VIN,Dealer,Dealer State,Options
2024,MT RWD,Steel,29300,32708,0.0,0,29300,At dealer,False,DealerHold,2024-04-19,2024-04-20,JF1ZNBB10R9752984,DARCARS Toyota,MD,50 State Emissions | All-Weather Mat Package[installed_msrp] | GR Air Filter[installed_msrp] | GR Fender Vent Inserts[installed_msrp] | GR Key Gloves[installed_msrp] | GR Performance Dual Exhaust - Black[installed_msrp] | Quick Charge Cable Package[installed_msrp]
2025,AT RWD,Trueno Blue,31050,32828,32828.0,0,31050,Factory to port,False,,2025-02-06,2025-02-21,JF1ZNBB10S152AK64,Longo Toyota,CA,50 State Emissions | All-Weather Mat Package[installed_msrp] | Door Edge Guards[installed_msrp] | GR Shift Knob[installed_msrp] | Rear Bumper Applique: Clear[installed_msrp]
2025,AT RWD,Raven,31050,34140,0.0,0,31050,Factory to port,False,DealerHold,2025-01-10T05:00:00.000Z,2025-01-15T05:00:00.000Z,JF1ZNBB10S8751460,Milton Martin Toyota,GA,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats with All Weather Trunk Mat | Paint Protection Film - Hood & Door Package | Phone Cable Charge Package | SET Digital Portfolio | TOYOGUARD Platinum
2025,AT RWD,Pavement,31050,34572,0.0,0,31050,Port to dealer,False,,2024-12-24,2025-01-01,JF1ZNBB10S8751734,Freeman Toyota,CA,50 State Emissions | All-Weather Mat Package[installed_msrp] | GR Fender Vent Inserts[installed_msrp] | GR Performance Dual Exhaust: Black[installed_msrp] | GR Shift Knob[installed_msrp] | Rear Bumper Applique: Black[installed_msrp]
2025,AT RWD,Pavement,31050,34459,0.0,0,31050,Factory to port,False,,2025-01-22,2025-02-11,JF1ZNBB10S8751880,Spitzer Toyota,PA,50 State Emissions | All-Weather Mat Package[installed_msrp] | Door Edge Guards[installed_msrp] | GR Performance Dual Exhaust: Black[installed_msrp] | GR Shift Knob[installed_msrp]
2025,AT RWD,Track bRED,31050,33254,0.0,0,31050,Factory to port,False,,2025-01-22,2025-02-09,JF1ZNBB10S8751927,Heritage Toyota Catonsville,MD,50 State Emissions | All-Weather Mat Package[installed_msrp] | Door Edge Guards[installed_msrp] | GR Key Gloves[installed_msrp] | GR Shift Knob[installed_msrp] | Premium Paint
2025,AT RWD,Halo,31050,34887,0.0,0,31050,Factory to port,False,DealerHold,2024-12-30,2025-01-21,JF1ZNBB10S8751992,Big Two Toyota of Chandler,AZ,50 State Emissions | All-Weather Mat Package[installed_msrp] | GR Fender Vent Inserts[installed_msrp] | GR Performance Dual Exhaust: Black[installed_msrp] | Premium Paint | Rear Bumper Applique: Clear[installed_msrp]
2025,AT RWD,Raven,31050,33472,0.0,0,31050,Factory to port,False,Available,2024-12-31T00:00:00.000Z,2025-01-20T00:00:00.000Z,JF1ZNBB10S8752091,Mike Calvert Toyota,TX,50 State Emissions | Cargo Net | Connectivity Kit | Mud Guards | Owner's Portfolio | PDS - w/TX State Inspection | Premium Carpet Mat Set | Rear Cargo Organizer | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
2025,AT RWD,Raven,31050,35247,34747.0,0,31050,Factory to port,False,,2025-02-07,2025-02-25,JF1ZNBB10S8752575,Toyota of Escondido,CA,"17"" Bronze Wheel Package[installed_msrp] | 50 State Emissions | All-Weather Mat Package[installed_msrp] | Door Edge Guards[installed_msrp] | Frameless Homelink® Mirror[installed_msrp] | Paint Protection Film: Hood, Fenders, Door Cups and Mirror Backs[installed_msrp] | Rear Bumper Applique: Clear[installed_msrp]"
2025,MT RWD,Track bRED,29950,31859,0.0,0,29950,At dealer,False,,,,JF1ZNBB10S9750173,Peterson Toyota,ID,50 State Emissions | All-Weather Mat Package[installed_msrp] | Premium Paint
