Year,Model,Color,Base MSRP,Total MSRP,Selling Price,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,eta.currFromDate,eta.currToDate,VIN,Dealer,Dealer State,Options
2025,FX FWD,Ice Cap with Midnight Black Metallic roof,26500,29318,29318.0,0,26500,Factory to port,False,,,,5YFB4MCE0SP01A441,Toyota of Naperville,IL,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks: Black[installed_msrp] | Black Roof | FX Package | Frameless Homelink Mirror[installed_msrp] | Rear Bumper Protector[installed_msrp] | SE Convenience Package
2025,FX FWD,Midnight Black Metallic,26500,29541,0.0,0,26500,Factory to port,False,Available,2025-01-14T05:00:00.000Z,2025-01-19T05:00:00.000Z,5YFB4MCE0SP01A732,Serra Toyota,AL,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats | Clear Paint Protection - Door Package | Convenience Package - Blind Spot Monitor | FX Package | Phone Cable Charge Package | Southeast Toyota Distributor | TOYOGUARD Platinum
2025,FX FWD,Midnight Black Metallic,26500,29940,0.0,0,26500,Factory to port,False,Available,2025-01-21T05:00:00.000Z,2025-01-26T05:00:00.000Z,5YFB4MCE0SP02C217,Heyward Allen Toyota,GA,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats | Clear Paint Protection - Door Package | Clear Paint Protection - Full Hood Package | Convenience Package - Blind Spot Monitor | FX Package | Phone Cable Charge Package | SET Digital Portfolio | TOYOGUARD Platinum
2025,FX FWD,Underground with Midnight Black Metallic roof,26500,29094,0.0,0,26500,Factory to port,False,Available,2025-01-17T05:00:00.000Z,2025-01-22T05:00:00.000Z,5YFB4MCE0SP02D268,North Georgia Toyota,GA,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats with All Weather Trunk Mat | Black Roof | Convenience Package - Blind Spot Monitor | FX Package | SET Digital Portfolio
2025,FX FWD,Midnight Black Metallic,26500,29621,0.0,0,26500,Factory to port,False,,2025-01-24T05:00:00.000Z,2025-01-29T05:00:00.000Z,5YFB4MCE0SP03B869,Hendrick Toyota Apex,NC,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats with All Weather Trunk Mat | Clear Paint Protection - Door Package | Convenience Package - Blind Spot Monitor | FX Package | Phone Cable Charge Package | SET Digital Portfolio | TOYOGUARD Platinum
2025,FX FWD,Ice Cap with Midnight Black Metallic roof,26500,29259,28759.0,0,26500,At dealer,False,Available,2024-11-01,2024-11-01,5YFB4MCE0SP218377,Labadie Toyota,MI,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Black Roof | Door Edge Guards[installed_msrp] | FX Package | SE Convenience Package | Trunk LED Bulb[installed_msrp] | UV Sunshade (Windshield) - GR
2025,FX FWD,Midnight Black Metallic,26500,28878,0.0,0,26500,At dealer,False,,,,5YFB4MCE0SP218959,Toyota of Merrillville,IN,"50 State Emissions | Door Edge Guards[installed_msrp] | FX Package | Paint Protection Film: Hood, Fenders, Mirror Backs and Door Cups[installed_msrp] | Rear Bumper Protector[installed_msrp] | SE Convenience Package | Trunk LED Bulb[installed_msrp]"
2025,FX FWD,Ice Cap with Midnight Black Metallic roof,26500,29692,0.0,0,26500,Factory to port,False,DealerHold,2024-12-16T05:00:00.000Z,2024-12-21T05:00:00.000Z,5YFB4MCE0SP220484,Wesley Chapel Toyota,FL,50 State Emissions | 6-Gallons of Gas | Black Roof | Clear Paint Protection - Door Package | Convenience Package - Blind Spot Monitor | FX Package | Phone Cable Charge Package | SET Digital Portfolio | TOYOGUARD Platinum
2025,FX FWD,Underground with Midnight Black Metallic roof,26500,28523,0.0,0,26500,At dealer,False,,2024-11-19,2024-11-20,5YFB4MCE0SP220582,Conklin Toyota Salina,KS,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Black Roof | FX Package | Rear Bumper Protector[installed_msrp]
2025,FX FWD,Midnight Black Metallic,26500,28253,28253.0,0,26500,At dealer,False,Available,,,5YFB4MCE0SP220825,West Herr Toyota of Canandaigua,NY,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Door Edge Guards[installed_msrp] | FX Package | Owner's Portfolio | Quick Charging Cable Package[installed_msrp] | Rear Bumper Protector[installed_msrp]
2025,FX FWD,Underground with Midnight Black Metallic roof,26500,28964,0.0,0,26500,At dealer,False,,2024-11-25,2024-11-25,5YFB4MCE0SP221036,Thompson's Toyota of Placerville,CA,50 State Emissions | Black Roof | Carpet Mat PackageCarpet Floor Mats | FX Package | SE Convenience Package
2025,FX FWD,Underground with Midnight Black Metallic roof,26500,29443,0.0,0,26500,At dealer,False,,2024-11-26T05:00:00.000Z,2024-12-01T05:00:00.000Z,5YFB4MCE0SP221604,Venice Toyota,FL,50 State Emissions | 6-Gallons of Gas | Black Roof | Convenience Package - Blind Spot Monitor | FX Package | Phone Cable Charge Package | SET Digital Portfolio | TOYOGUARD Platinum
2025,FX FWD,Underground with Midnight Black Metallic roof,26500,28964,28964.0,0,26500,At dealer,False,,2024-11-29,2024-11-29,5YFB4MCE0SP221859,Hillside Toyota,NY,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Black Roof | FX Package | SE Convenience Package
2025,FX FWD,Midnight Black Metallic,26500,28208,28208.0,0,26500,At dealer,False,,2024-12-04,2024-12-06,5YFB4MCE0SP221893,Harr Toyota,MA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Door Edge Guards[installed_msrp] | FX Package | Rear Bumper Protector[installed_msrp] | Trunk LED Bulb[installed_msrp]
2025,FX FWD,Underground with Midnight Black Metallic roof,26500,28964,0.0,0,26500,At dealer,False,DealerHold,2024-12-03,2024-12-04,5YFB4MCE0SP221991,Spitzer Toyota,PA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Black Roof | FX Package | Owner's Portfolio | SE Convenience Package
