Year,Model,Color,Base MSRP,Total MSRP,Selling Price,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,eta.currFromDate,eta.currToDate,VIN,Dealer,Dealer State,Options
2024,L FWD,Wind Chill Pearl,23860,26683,0.0,0,23860,At dealer,False,DealerHold,,,7MUAAAAG0RV111957,DARCARS Toyota of Baltimore,MD,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Body Side Moldings[installed_msrp] | Cargo Cover[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Protector[installed_msrp] | Special Color
2024,L FWD,Celestite,23860,25724,25724.0,0,23860,At dealer,False,,,,7MUAAAAG0RV112560,Lynch Toyota,CT,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Door Edge Guards[installed_msrp] | Quick Charging Cable Package[installed_msrp]
2024,L FWD,Celestite,23860,25833,25575.0,0,23860,At dealer,False,DealerHold,2024-11-04,2024-11-04,7MUAAAAG0RV112803,Lynch Toyota,CT,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp]
2024,L FWD,Celestite,23860,25893,0.0,0,23860,At dealer,False,,2024-11-25,2024-11-25,7MUAAAAG0RV113319,Rogers Toyota of Hermiston,OR,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Protector[installed_msrp]
2024,L FWD,Celestite,23860,25649,0.0,0,23860,At dealer,False,Available,2024-12-02,2024-12-02,7MUAAAAG0RV113840,Toyota of Corvallis,OR,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Mudguards[installed_msrp]
2024,L FWD,Sonic Silver,23860,25499,0.0,0,23860,At dealer,False,,2024-11-18,2024-11-18,7MUAAAAG0RV114714,Island Toyota,NY,50 State Emissions | All-Weather Floor Liner Package[installed_msrp]
2024,L FWD,Jet Black,23860,27009,0.0,0,23860,At dealer,False,Available,2024-11-15T05:00:00.000Z,2024-11-20T05:00:00.000Z,7MUAAAAG0RV114809,Keith Pierson Toyota,FL,50 State Emissions | 6-Gallons of Gas | SET Digital Portfolio | XP Street
2024,L FWD,Celestite,23860,27557,0.0,0,23860,At dealer,False,Available,2024-11-22T05:00:00.000Z,2024-11-27T05:00:00.000Z,7MUAAAAG0RV114860,North Georgia Toyota,GA,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats with All Weather Cargo Mat | Multimedia Screen Protector | SET Digital Portfolio | XP Street
2024,L FWD,Celestite,23860,27428,0.0,0,23860,At dealer,False,Available,2024-12-10T05:00:00.000Z,2024-12-15T05:00:00.000Z,7MUAAAAG0RV115491,LaGrange Toyota,GA,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats with All Weather Cargo Mat | SET Digital Portfolio | XP Street
2024,L FWD,Celestite,23860,26466,0.0,1695,25555,At dealer,False,Available,2024-11-25T00:00:00.000Z,2024-11-29T00:00:00.000Z,7MUAAAAG0RV115703,All Star Toyota of Baton Rouge,LA,50 State Emissions | ALL STAR ACCESSORY PKG | Connectivity Kit | Mud Guards** | Owner's Portfolio | PDS - Pre Delivery Services | Premium Carpet Mat Set: | Rear Bumper Protector** | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
2024,L FWD,Celestite,23860,26189,0.0,0,23860,At dealer,False,,2024-12-05,2024-12-06,7MUAAAAG0RV115927,Jerry's Toyota,MD,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Body Side Moldings[installed_msrp] | Cargo Cover[installed_msrp] | Door Edge Guards[installed_msrp] | Key Gloves[installed_msrp] | Mudguards[installed_msrp]
2024,L FWD,Celestite,23860,25874,0.0,0,23860,At dealer,False,Available,2024-12-04,2024-12-05,7MUAAAAG0RV116060,Walker Toyota,OH,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Quick Charging Cable Package[installed_msrp]
2024,L FWD,Celestite,23860,25210,0.0,0,23860,Factory to port,False,DealerHold,2024-12-16T05:00:00.000Z,2024-12-21T05:00:00.000Z,7MUAAAAG0RV116074,Headquarter Toyota,FL,50 State Emissions | 6-Gallons of Gas | Southeast Toyota Distributor
2024,L FWD,Celestite,23860,25853,0.0,0,23860,At dealer,False,,2024-12-04,2024-12-05,7MUAAAAG0RV116236,I-10 Toyota,CA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Cargo Cover[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Protector[installed_msrp]
2024,L FWD,Wind Chill Pearl,23860,26013,0.0,0,23860,At dealer,False,DealerHold,2024-12-09,2024-12-10,7MUAAAAG0RV116348,Toyota of Selma,CA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Rear Bumper Protector[installed_msrp] | Special Color
2024,L FWD,Sonic Silver,23860,25589,0.0,0,23860,At dealer,False,,2024-12-05,2024-12-06,7MUAAAAG0RV116463,Toyota of Downtown LA,CA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Key Gloves[installed_msrp] | Owner's Portfolio | Quick Charging Cable Package[installed_msrp]
2024,L FWD,Wind Chill Pearl,23860,26074,0.0,0,23860,At dealer,False,,2024-12-03,2024-12-04,7MUAAAAG0RV116558,Riverhead Toyota,NY,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Mudguards[installed_msrp] | Special Color
2024,L FWD,Wind Chill Pearl,23860,26334,0.0,0,23860,Factory to port,False,Available,2024-12-11T05:00:00.000Z,2024-12-16T05:00:00.000Z,7MUAAAAG0RV116592,Lipton Toyota,FL,50 State Emissions | 6-Gallons of Gas | SET Digital Portfolio | Special Color | TOYOGUARD Platinum
2024,L FWD,Celestite,23860,25589,0.0,0,23860,At dealer,False,,2024-12-05,2024-12-06,7MUAAAAG0RV116625,Toyota of Downtown LA,CA,50 State Emissions | Carpet Mat Package[installed_msrp] | Key Gloves[installed_msrp] | Quick Charging Cable Package[installed_msrp]
2024,L FWD,Jet Black,23860,26143,0.0,0,23860,Port to dealer,False,Available,2024-12-09,2024-12-11,7MUAAAAG0RV116642,Conicelli Toyota of Springfield,PA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Protector[installed_msrp]
2024,L FWD,Jet Black,23860,26706,0.0,0,23860,At dealer,False,Available,2024-12-06T05:00:00.000Z,2024-12-11T05:00:00.000Z,7MUAAAAG0RV116706,Cherokee County Toyota,GA,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats with All Weather Cargo Mat | Multimedia Screen Protector | Phone Cable & Charge Package with Two USB Ports | SET Digital Portfolio | TOYOGUARD Platinum
2024,L FWD,Wind Chill Pearl,23860,26168,25288.0,0,23860,Factory to port,False,,,,7MUAAAAG0RV116804,Santa Margarita Toyota,CA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Door Edge Guards[installed_msrp] | Rear Bumper Protector[installed_msrp] | Special Color
2024,L FWD,Sonic Silver,23860,26537,0.0,0,23860,At dealer,False,Available,2024-12-05T00:00:00.000Z,2024-12-09T00:00:00.000Z,7MUAAAAG0RV116947,Fred Haas Toyota World,TX,50 State Emissions | Cargo Net | Connectivity Kit | Mud Guards** | PDS - with Texas State Inspection | Premium Carpet Mat Set: | Rear Bumper Protector** | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
2024,L FWD,Celestite,23860,26975,0.0,1340,25200,Factory to port,False,Available,2024-12-19T05:00:00.000Z,2024-12-24T05:00:00.000Z,7MUAAAAG0RV117029,Toyota of Dothan,AL,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats with All Weather Cargo Mat | Cargo Cover | Mudguards | Multimedia Screen Protector | Phone Cable & Charge Package with Two USB Ports | SET Digital Portfolio | TOYOGUARD Platinum | Toyota of Dothan Advantage NON TRUCKS
2024,L FWD,Jet Black,23860,26956,0.0,0,23860,Factory to port,False,,2024-12-19T05:00:00.000Z,2024-12-24T05:00:00.000Z,7MUAAAAG0RV117032,Treasure Coast Toyota of Stuart,FL,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats with Carpet Cargo Mat | Multimedia Screen Protector | SET Digital Portfolio | SmartLED Ambient Lighting | TOYOGUARD Platinum
2024,L FWD,Sonic Silver,23860,25629,0.0,0,23860,Factory to port,False,,2024-12-19T05:00:00.000Z,2024-12-24T05:00:00.000Z,7MUAAAAG0RV117046,Toyota of Orlando,FL,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats with Carpet Cargo Mat | Southeast Toyota Distributor
2024,L FWD,Wind Chill Pearl,23860,25924,25924.0,0,23860,Port to dealer,False,,2024-12-09,2024-12-17,7MUAAAAG0RV117063,Maita's Toyota of Sacramento,CA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Special Color
2024,L FWD,Wind Chill Pearl,23860,26433,0.0,0,23860,Port to dealer,False,,2024-12-09,2024-12-18,7MUAAAAG0RV117158,Temecula Valley Toyota,CA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Cargo Cover[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Protector[installed_msrp] | Special Color
2024,L FWD,Celestite,23860,25589,0.0,0,23860,Port to dealer,False,,2024-12-10,2024-12-11,7MUAAAAG0RV117161,Toyota of Downtown LA,CA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Key Gloves[installed_msrp] | Owner's Portfolio | Quick Charging Cable Package[installed_msrp]
2024,L FWD,Celestite,23860,26577,0.0,0,23860,Factory to port,False,Available,2024-12-19T05:00:00.000Z,2024-12-24T05:00:00.000Z,7MUAAAAG0RV117208,Fred Anderson Toyota of Charleston,SC,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats with All Weather Cargo Mat | Phone Cable & Charge Package with Two USB Ports | SET Digital Portfolio | TOYOGUARD Platinum
2024,L FWD,Sonic Silver,23860,25937,0.0,0,23860,At dealer,False,DealerHold,2024-12-09T05:00:00.000Z,2024-12-14T05:00:00.000Z,7MUAAAAG0RV117211,LaGrange Toyota,GA,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats with All Weather Cargo Mat | Dual USB Power Port Rear Seat Charge Station | Multimedia Screen Protector | SET Digital Portfolio
2024,L FWD,Wind Chill Pearl,23860,26324,0.0,0,23860,Port to dealer,False,,2024-12-14,2024-12-22,7MUAAAAG0RV117225,Toyota of Anaheim,CA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Door Edge Guards[installed_msrp] | First Aid Kit w/ PPE[installed_msrp] | Mudguards[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Special Color
2024,L FWD,Celestite,23860,27837,0.0,0,23860,Factory to port,False,Available,2024-12-12T05:00:00.000Z,2024-12-17T05:00:00.000Z,7MUAAAAG0RV117239,Franklin Toyota,GA,50 State Emissions | 6-Gallons of Gas | Multimedia Screen Protector | SET Digital Portfolio | TOYOGUARD Platinum | XP Street
2024,L FWD,Sonic Silver,23860,26625,0.0,0,23860,Port to dealer,False,Available,2024-12-10T00:00:00.000Z,2024-12-16T00:00:00.000Z,7MUAAAAG0RV117256,Lithia Toyota of Odessa,TX,50 State Emissions | Connectivity Kit | Mud Guards** | Owner's Portfolio | PDS - with Texas State Inspection | Premium Carpet Mat Set: | Rear Bumper Protector** | Rear Cargo Organizer | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
2024,L FWD,Jet Black,23860,26124,25593.0,0,23860,Port to dealer,False,,2024-12-09,2024-12-11,7MUAAAAG0RV117290,AutoNation Toyota Cerritos,CA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Quick Charging Cable Package[installed_msrp]
2024,L FWD,Jet Black,23860,26158,0.0,0,23860,At dealer,False,Available,2024-12-10T05:00:00.000Z,2024-12-15T05:00:00.000Z,7MUAAAAG0RV117323,Marietta Toyota,GA,50 State Emissions | 6-Gallons of Gas | Phone Cable & Charge Package with Two USB Ports | SET Digital Portfolio | TOYOGUARD Platinum
2024,L FWD,Wind Chill Pearl,23860,26542,0.0,0,23860,Factory to port,False,Available,2024-12-13T05:00:00.000Z,2024-12-18T05:00:00.000Z,7MUAAAAG0RV117354,DeLuca Toyota,FL,50 State Emissions | 6-Gallons of Gas | Multimedia Screen Protector | Phone Cable Charge Package | SET Digital Portfolio | Special Color | TOYOGUARD Platinum
2024,L FWD,Wind Chill Pearl,23860,27449,26949.0,0,23860,Factory to port,False,Available,2024-12-08T00:00:00.000Z,2024-12-28T00:00:00.000Z,7MUAAAAG0RV117435,Huntsville Toyota,TX,50 State Emissions | Cargo Cover | Connectivity Kit | Mud Guards** | Owner's Portfolio | PDS - with Texas State Inspection | Premium Carpet Mat Set: | Rear Bumper Protector** | Rear Cargo Organizer | Special Color | Vehicle Fueling (4 Gal.) | Vehicle Protection Premium Package:
