Year,Model,Color,Base MSRP,Total MSRP,Selling Price,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,eta.currFromDate,eta.currToDate,VIN,Dealer,Dealer State,Options
2024,SE AWD,Jet Black,29540,33430,0.0,0,29540,At dealer,False,Available,2024-11-15T00:00:00.000Z,2024-11-19T00:00:00.000Z,7MUFBABG0RV050885,Toyota of Denton,TX,50 State Emissions | Body Side Molding** | Cargo Cross Bars** | Cargo Net | Connectivity Kit | Door Sill Protectors** | Frameless Homelink Rearview Mirror** | Mud Guards** | PDS - with Texas State Inspection | Premium Carpet Mat Set | Rear Bumper Protector** | Vehicle Fueling (4 Gal.) | Vehicle Protection Premium Package
2024,Nightshade AWD,Celestite/Jet Black Roof,30465,34758,36353.0,1595,32060,At dealer,False,,2024-10-30,2024-10-30,7MUFBABG0RV051499,Findlay Toyota,NV,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Findlay Package | Frameless HomeLink® Mirror[installed_msrp] | JBL® Premium Audio | Moonroof Package | Mudguards[installed_msrp] | Nightshade Edition | Rear Bumper Protector[installed_msrp] | Two-tone exterior color
2024,Nightshade AWD,Jet Black,30465,35181,0.0,0,30465,At dealer,False,Available,2024-10-07T04:00:00.000Z,2024-10-12T04:00:00.000Z,7MUFBABG0RV052068,Bryan Easler Toyota,NC,50 State Emissions | 6-Gallons of Gas | Clear Paint Protection - Full Hood Package | Frameless HomeLink Mirror | JBL Premium Audio: | Moonroof Package: | Mudguards | Nightshade Edition | Phone Cable Charge Package | Southeast Toyota Distributor | TOYOGUARD Platinum
2024,SE AWD,Wind Chill Pearl,29540,33854,0.0,1695,31235,At dealer,False,Available,2024-09-30T00:00:00.000Z,2024-10-04T00:00:00.000Z,7MUFBABG0RV053575,Keating Toyota,TX,50 State Emissions | Apex Protect Package | Body Side Molding** | Cargo Cover | Cargo Cross Bars** | Cargo Net | Connectivity Kit | Door Sill Protectors** | Frameless Homelink Rearview Mirror** | Mud Guards** | Owner's Portfolio | Premium Carpet Mat Set | Rear Bumper Protector** | Special Color | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
2024,S AWD,Sonic Silver,28220,30598,0.0,0,28220,At dealer,False,Available,,,7MUFBABG0RV053737,Thornhill Toyota,WV,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | First Aid Kit w/ PPE[installed_msrp] | Mudguards[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Rear Bumper Protector[installed_msrp]
2024,SE AWD,Sonic Silver/Jet Black roof,29540,34758,36253.0,1495,31035,At dealer,False,Available,2024-09-30T00:00:00.000Z,2024-10-04T00:00:00.000Z,7MUFBABG0RV053804,Cavender Toyota,TX,50 State Emissions | Body Side Molding** | Cargo Cross Bars** | Cavender Protection Package | Connectivity Kit | Door Sill Protectors** | Frameless Homelink Rearview Mirror** | Moonroof Package | Mud Guards** | Owner's Portfolio | PDS - with Texas State Inspection | Premium Carpet Mat Set | Rear Bumper Protector** | Rear Cargo Organizer | Two-tone exterior color | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
2024,Nightshade AWD,Jet Black,30465,35181,0.0,0,30465,At dealer,False,Available,2024-10-09T04:00:00.000Z,2024-10-14T04:00:00.000Z,7MUFBABG0RV054208,Mike Johnson's Hickory Toyota,NC,50 State Emissions | 6-Gallons of Gas | Clear Paint Protection - Full Hood Package | Frameless HomeLink Mirror | JBL Premium Audio: | Moonroof Package: | Mudguards | Nightshade Edition | Phone Cable Charge Package | Southeast Toyota Distributor | TOYOGUARD Platinum
2024,SE AWD,Sonic Silver/Jet Black roof,29540,34504,0.0,0,29540,At dealer,False,Available,2024-10-08T04:00:00.000Z,2024-10-13T04:00:00.000Z,7MUFBABG0RV054421,Griffin Toyota,NC,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats with All Weather Cargo Mat | Clear Paint Protection - Full Hood Package | Frameless HomeLink Mirror | Moonroof Package: | Mudguards | Multimedia Screen Protector | Phone Cable Charge Package | SET Digital Portfolio | TOYOGUARD Platinum | Two Tone Exterior Color
2024,XSE AWD,Celestite,31405,36075,0.0,0,31405,At dealer,False,DealerHold,2024-10-16T00:00:00.000Z,2024-10-20T00:00:00.000Z,7MUFBABG0RV055648,Toyota of Plano,TX,50 State Emissions | Body Side Molding** | Cargo Cross Bars** | Connectivity Kit | Convenience Package | Door Sill Protectors** | Mud Guards** | Owner's Portfolio | PDS - with Texas State Inspection | Premium Carpet Mat Set | Rear Bumper Protector** | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
2024,SE AWD,Sonic Silver,29540,33283,0.0,799,30339,At dealer,False,Available,2024-10-18T00:00:00.000Z,2024-10-22T00:00:00.000Z,7MUFBABG0RV055956,Landers Toyota NWA,AR,50 State Emissions | APP PACK | Body Side Molding** | Cargo Cover | Cargo Cross Bars** | Door Sill Protectors** | Frameless Homelink Rearview Mirror** | Lemon Law Book | Mud Guards** | Owner's Portfolio | PDS - Pre Delivery Services | Premium Carpet Mat Set | Rear Bumper Protector** | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
2024,S AWD,Celestite,28220,30138,0.0,0,28220,At dealer,False,Available,,,7MUFBABG0RV057514,City World Toyota,NY,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Cargo Net - Spider[installed_msrp] | Mudguards[installed_msrp] | Quick Charging Cable Package[installed_msrp]
2024,SE AWD,Sonic Silver,29540,33430,0.0,798,30338,At dealer,False,Available,2024-11-09T00:00:00.000Z,2024-11-13T00:00:00.000Z,7MUFBABG0RV057898,Robbins Toyota,TX,50 State Emissions | Body Side Molding** | CarRx | Cargo Cross Bars** | Cargo Net | Connectivity Kit | Door Sill Protectors** | Frameless Homelink Rearview Mirror** | Lifetime Tint | Mud Guards** | Owner's Portfolio | PDS - with Texas State Inspection | Premium Carpet Mat Set | Rear Bumper Protector** | Vehicle Fueling (4 Gal.) | Vehicle Protection Premium Package
2024,XSE AWD,Celestite,31405,34623,0.0,0,31405,Port to dealer,False,DealerHold,2024-12-09,2024-12-10,7MUFBABG0RV057982,Lithia Toyota of Missoula,MT,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Convenience Package | Door Sill Protectors[installed_msrp] | Mudguards[installed_msrp]
2024,SE AWD,Wind Chill Pearl,29540,33674,0.0,0,29540,Port to dealer,False,DealerHold,,,7MUFBABG0RV058159,Toyota of Selma,CA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | JBL® Premium Audio | Moonroof Package | Roof Rack Cross Bars[installed_msrp] | Special Color
2024,Nightshade AWD,Jet Black,30465,34238,0.0,0,30465,At dealer,False,DealerHold,2024-12-09,2024-12-10,7MUFBABG0RV058243,Bud Clary Toyota of Yakima,WA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Door Edge Guards[installed_msrp] | JBL® Premium Audio | Moonroof Package | Mudguards[installed_msrp] | Nightshade Edition | Rear Bumper Protector[installed_msrp]
2024,Nightshade AWD,Celestite/Jet Black Roof,30465,34414,0.0,0,30465,Port to dealer,False,,,,7MUFBABG0RV058260,Toyota of Clovis,CA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | JBL® Premium Audio | Moonroof Package | Nightshade Edition | Quick Charging Cable Package[installed_msrp] | Two-tone exterior color
2024,XSE AWD,Wind Chill Pearl,31405,34789,40147.0,358,31763,Port to dealer,False,DealerHold,,,7MUFBABG0RV058274,City Toyota,CA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Convenience Package | Door Edge Guard | Quick Charging Cable Package[installed_msrp] | Special Color
2024,XSE AWD,Sonic Silver/Jet Black roof,31405,37375,0.0,1495,32900,At dealer,False,Available,2024-11-04T00:00:00.000Z,2024-11-08T00:00:00.000Z,7MUFBABG0RV058288,Post Oak Toyota,OK,50 State Emissions | Body Side Molding** | Cargo Cross Bars** | Connectivity Kit | Convenience Package | Door Sill Protectors** | JBL® Premium Audio | Mud Guards** | Owner's Portfolio | PDS - Pre Delivery Services | Post Oak Advantage | Premium Carpet Mat Set | Rear Bumper Protector** | Two-tone exterior color | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
2024,XSE AWD,Sonic Silver/Jet Black roof,31405,37303,37303.0,0,31405,At dealer,False,,2024-11-15,2024-11-18,7MUFBABG0RV058341,Gloucester Toyota,VA,50 State Emissions | Adaptive Headlights | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Convenience Package | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | JBL® Premium Audio | Mudguards[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Two-tone exterior color | UV Sunshade (Windshield) - Toyota Emblem
2024,SE AWD,Wind Chill Pearl,29540,32363,0.0,0,29540,At dealer,False,Available,2024-11-06T05:00:00.000Z,2024-11-11T05:00:00.000Z,7MUFBABG0RV058565,Phillips Toyota,FL,50 State Emissions | 6-Gallons of Gas | Frameless HomeLink Mirror | Mudguards | SET Digital Portfolio | Special Color | TOYOGUARD Platinum
2024,S AWD,Celestite,28220,31877,0.0,0,28220,At dealer,False,Available,2024-11-05T00:00:00.000Z,2024-11-09T00:00:00.000Z,7MUFBABG0RV058677,Don McGill Toyota of Katy,TX,50 State Emissions | Body Side Molding** | Cargo Cover | Connectivity Kit | Door Sill Protectors** | Frameless Homelink Rearview Mirror** | Mud Guards** | Owner's Portfolio | Premium Carpet Mat Set | Rear Bumper Protector** | Rear Cargo Organizer | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
2024,SE AWD,Sonic Silver,29540,33429,0.0,0,29540,At dealer,False,Available,2024-11-22T00:00:00.000Z,2024-11-26T00:00:00.000Z,7MUFBABG0RV059036,Trotter Toyota,AR,50 State Emissions | Body Side Molding** | Cargo Cover | Cargo Cross Bars** | Cargo Net | Connectivity Kit | Door Sill Protectors** | Frameless Homelink Rearview Mirror** | Lemon Law Book | Mud Guards** | Owner's Portfolio | PDS - Pre Delivery Services | Premium Carpet Mat Set | Rear Bumper Protector** | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
2024,XSE AWD,Wind Chill Pearl,31405,36500,0.0,0,31405,At dealer,False,Available,2024-11-07T00:00:00.000Z,2024-11-11T00:00:00.000Z,7MUFBABG0RV059120,Lithia Toyota of Odessa,TX,50 State Emissions | Body Side Molding** | Cargo Cross Bars** | Connectivity Kit | Convenience Package | Door Sill Protectors** | Mud Guards** | Owner's Portfolio | PDS - with Texas State Inspection | Premium Carpet Mat Set | Rear Bumper Protector** | Special Color | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
