Year,Model,Color,Base MSRP,Total MSRP,Selling Price,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,eta.currFromDate,eta.currToDate,VIN,Dealer,Dealer State,Options
2024,Limited FWD,Midnight Black Metallic,48110,53349,53349.0,0,48110,At dealer,False,Available,2024-12-10,2024-12-11,5TDAAAA50RS015965,AutoNation Toyota Buena Park,CA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Bench Seat | Blackout Emblem Overlays[installed_msrp] | Carpet Floor Mat & Cargo Mat Package[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Panoramic Moonroof | Panoramic View Monitor | Quick Charging Cable Package[installed_msrp] | Rear Hatch Cargo Lamps[installed_msrp] | Roof Rack Cross Bars[installed_msrp]
2024,XLE FWD,Wind Chill Pearl,43320,45938,0.0,0,43320,At dealer,False,Available,2024-12-10,2024-12-11,5TDAAAA50RS016954,Toyota of Downtown LA,CA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Key Gloves[installed_msrp] | Owner's Portfolio | Quick Charging Cable Package[installed_msrp] | Rear Hatch Cargo Lamps[installed_msrp] | SPECIAL COLOR
2024,XLE FWD,Coastal Cream,43320,45707,45707.0,4992,48312,At dealer,False,Available,2024-12-02,2024-12-02,5TDAAAA50RS017103,AutoNation Toyota Irvine,CA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Dent Protection 3 Years | Door Edge Guards[installed_msrp] | Door Edge and Door Handle Cup Guards | Permaplate 3 Years | Rear Hatch Cargo Lamps[installed_msrp] | aN Mini Overland Excursion Set
2024,XLE FWD,Midnight Black Metallic,43320,47232,0.0,0,43320,At dealer,False,Available,,,5TDAAAA50RS017215,Toyota of The Desert,CA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Bench Seat | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Logo Side Puddle Lamp[installed_msrp] | Panoramic Moonroof | Rear Hatch Cargo Lamps[installed_msrp]
2024,XLE FWD,Wind Chill Pearl,43320,45647,0.0,0,43320,At dealer,True,DealerHold,2024-12-11,2024-12-13,5TDAAAA50RS017229,Keyes Toyota,CA,50 State Emissions | Carpet Floor Mat & Cargo Mat Package[installed_msrp] | Mudguards[installed_msrp] | SPECIAL COLOR
2024,Limited FWD,Coastal Cream,48110,52152,0.0,0,48110,At dealer,False,DealerHold,2024-12-09,2024-12-09,5TDAAAA50RS017702,Norm Reeves Toyota San Diego,CA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks: Chrome[installed_msrp] | Bench Seat | Blackout Emblem Overlays[installed_msrp] | Cargo Net: Envelope[installed_msrp] | Door Edge Guards[installed_msrp] | First Aid Kit[installed_msrp] | Key Gloves[installed_msrp] | Logo Side Puddle Lamp[installed_msrp] | Rear Hatch Cargo Lamps[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Tow Hitch Receiver w/ Wire Harness[installed_msrp]
2024,XLE FWD,Storm Cloud,43320,46017,0.0,3493,46813,At dealer,False,Available,2024-11-20T00:00:00.000Z,2024-11-24T00:00:00.000Z,5TDAAAA50RS017909,Keating Toyota,TX,50 State Emissions | APEX PROTECTION | All Weather Floor Liners | CLEAR SHIELD PACKAGE | Connectivity Kit | Illuminated Cargo Sill** | Logo Side Puddle Lamps** | Owner's Portfolio | Rear Hatch Cargo Lamps** | Vehicle Fueling (4 Gal.) | WINDOW TINT
2024,Limited FWD,Wind Chill Pearl,48110,55598,0.0,0,48110,Factory to port,False,Available,2025-01-17T00:00:00.000Z,2025-01-27T00:00:00.000Z,5TDAAAA50RS018042,Supreme Toyota of Hammond,LA,50 State Emissions | Bench Seat | Blackout Package: | Cargo Net | Connectivity Kit | Illuminated Cargo Sill** | Logo Side Puddle Lamps** | Mud Guards | Owner's Portfolio | PDS - Pre-Delivery Service | Panoramic Moonroof | Panoramic View Monitor | Rear Hatch Cargo Lamps** | SPECIAL COLOR | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
2024,Limited FWD,Celestial Silver Metallic,48110,56400,0.0,2995,51105,Factory to port,False,Available,2025-01-17T00:00:00.000Z,2025-01-27T00:00:00.000Z,5TDAAAA50RS018137,Classic Toyota,TX,50 State Emissions | Bench Seat | Blackout Package: | Cargo Net | Classic Advantage Plan | Connectivity Kit | Cross Bars | Illuminated Cargo Sill** | Integrated Dashcam | Logo Side Puddle Lamps** | Mud Guards | Owner's Portfolio | PDS - with Texas State Inspection | Panoramic Moonroof | Panoramic View Monitor | Rear Cargo Organizer | Rear Hatch Cargo Lamps** | Vehicle Fueling (4 Gal.) | Vehicle Protection Premium Package:
2024,Limited FWD,Storm Cloud,48110,54449,0.0,1695,49805,At dealer,True,Available,2024-12-06T00:00:00.000Z,2024-12-10T00:00:00.000Z,5TDAAAA50RS018333,Shapen Toyota,TX,50 State Emissions | Blackout Package: | Illuminated Cargo Sill** | Logo Side Puddle Lamps** | PDS - with Texas State Inspection | Panoramic Moonroof | Panoramic View Monitor | Platinum Diamond Ceramic Package | Rear Hatch Cargo Lamps** | Vehicle Fueling (4 Gal.)
2024,Limited FWD,Midnight Black Metallic,48110,56400,0.0,2995,51105,At dealer,False,Available,2024-12-09T00:00:00.000Z,2024-12-13T00:00:00.000Z,5TDAAAA50RS018428,Classic Toyota,TX,50 State Emissions | Bench Seat | Blackout Package: | Cargo Net | Classic Advantage Plan | Connectivity Kit | Cross Bars | Illuminated Cargo Sill** | Integrated Dashcam | Logo Side Puddle Lamps** | Mud Guards | Owner's Portfolio | PDS - with Texas State Inspection | Panoramic Moonroof | Panoramic View Monitor | Rear Cargo Organizer | Rear Hatch Cargo Lamps** | Vehicle Fueling (4 Gal.) | Vehicle Protection Premium Package:
2024,XLE FWD,Wind Chill Pearl,43320,47370,0.0,0,43320,At dealer,False,DealerHold,2024-11-20T05:00:00.000Z,2024-11-25T05:00:00.000Z,5TDAAAA50RS018431,Panama City Toyota,FL,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats w/All Weather Cargo Mat | Clear Paint Protection - Door Package | ILA Confirmation | Phone Cable Charge Package | Premium Paint | SET Digital Portfolio | TOYOGUARD Platinum
2024,XLE FWD,Coastal Cream,43320,47524,0.0,0,43320,At dealer,False,Available,2024-12-06T00:00:00.000Z,2024-12-10T00:00:00.000Z,5TDAAAA50RS018476,AutoNation Toyota Gulf Freeway,TX,50 State Emissions | All Weather Floor Liners | Cargo Net | Connectivity Kit | Illuminated Cargo Sill** | Integrated Dashcam | Logo Side Puddle Lamps** | Mud Guards | Owner's Portfolio | PDS - with Texas State Inspection | Rear Cargo Organizer | Rear Hatch Cargo Lamps** | Vehicle Fueling (4 Gal.) | Vehicle Protection Premium Package:
2024,XLE FWD,Midnight Black Metallic,43320,47524,49019.0,1495,44815,At dealer,False,Available,2024-12-04T00:00:00.000Z,2024-12-08T00:00:00.000Z,5TDAAAA50RS018929,Cavender Toyota,TX,50 State Emissions | All Weather Floor Liners | Cargo Net | Cavender Protection Package | Connectivity Kit | Illuminated Cargo Sill** | Integrated Dashcam | Logo Side Puddle Lamps** | Mud Guards | Owner's Portfolio | PDS - with Texas State Inspection | Rear Cargo Organizer | Rear Hatch Cargo Lamps** | Vehicle Fueling (4 Gal.) | Vehicle Protection Premium Package:
2024,XLE FWD,Midnight Black Metallic,43320,47225,0.0,0,43320,At dealer,False,Available,2024-12-04T00:00:00.000Z,2024-12-08T00:00:00.000Z,5TDAAAA50RS018963,John Eagle Sport City Toyota,TX,50 State Emissions | Bench Seat | Connectivity Kit | Illuminated Cargo Sill** | Integrated Dashcam | Logo Side Puddle Lamps** | Mud Guards | Owner's Portfolio | Rear Cargo Organizer | Rear Hatch Cargo Lamps** | Vehicle Fueling (4 Gal.) | Vehicle Protection Premium Package:
2024,Limited FWD,Wind Chill Pearl,48110,54630,0.0,0,48110,At dealer,True,DealerHold,2024-12-05T00:00:00.000Z,2024-12-09T00:00:00.000Z,5TDAAAA50RS018994,Gullo Toyota of Conroe,TX,50 State Emissions | Bench Seat | Cargo Net | Connectivity Kit | Cross Bars | Illuminated Cargo Sill** | Integrated Dashcam | Logo Side Puddle Lamps** | Mud Guards | Owner's Portfolio | PDS - with Texas State Inspection | Panoramic Moonroof | Panoramic View Monitor | Rear Cargo Organizer | Rear Hatch Cargo Lamps** | SPECIAL COLOR | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
2024,Limited FWD,Wind Chill Pearl,48110,56625,0.0,3995,52105,Factory to port,False,Available,2024-12-16T00:00:00.000Z,2024-12-26T00:00:00.000Z,5TDAAAA50RS019000,Gregg Orr Toyota,AR,50 State Emissions | Blackout Package: | Cargo Net | Connectivity Kit | Cross Bars | Gregg Orr Toyota Protection Plus | Illuminated Cargo Sill** | Integrated Dashcam | Lemon Law Book | Logo Side Puddle Lamps** | Mud Guards | Owner's Portfolio | PDS - Pre-Delivery Service | Panoramic Moonroof | Panoramic View Monitor | Rear Cargo Organizer | Rear Hatch Cargo Lamps** | SPECIAL COLOR | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
2024,Limited FWD,Midnight Black Metallic,48110,52628,0.0,0,48110,Factory to port,False,Available,2024-12-13T05:00:00.000Z,2024-12-18T05:00:00.000Z,5TDAAAA50RS019031,Keith Pierson Toyota,FL,50 State Emissions | 6-Gallons of Gas | ILA Confirmation | Illuminated Cargo Sill | Mudguards | PANO MOON ROOF | PANORAMIC VIEW CAMERA | Rear Hatch Cargo Lamps | SET Digital Portfolio
