Year,Model,Color,Base MSRP,Total MSRP,Selling Price,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,eta.currFromDate,eta.currToDate,VIN,Dealer,Dealer State,Options
2024,XLE FWD,Celestial Silver Metallic,45020,47911,0.0,0,45020,At dealer,False,,2024-12-06,2024-12-09,5TDABAA50RS001772,Capitol Toyota,CA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks: Chrome[installed_msrp] | Bench Seat | Blackout Emblem Overlays[installed_msrp] | Mudguards[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Rear Hatch Cargo Lamps[installed_msrp] | Roof Rack Cross Bars[installed_msrp]
2024,XLE FWD,Wind Chill Pearl,45020,49626,49626.0,0,45020,Port to dealer,True,Available,2024-12-07T00:00:00.000Z,2024-12-13T00:00:00.000Z,5TDABAA50RS001786,Gulf Coast Toyota,TX,50 State Emissions | Cargo Net | Connectivity Kit | Illuminated Cargo Sill** | Illuminated Door Sills | Logo Side Puddle Lamps** | Mud Guards | Owner's Portfolio | PDS - with Texas State Inspection | Premium Carpet Mat Set: | Premium Paint | Rear Cargo Organizer | Rear Hatch Cargo Lamps** | Vehicle Fueling (4 Gal.) | Vehicle Protection Premium Package:
2024,XLE FWD,Wind Chill Pearl,45020,48131,0.0,3117,48137,Port to dealer,True,DealerHold,2024-12-09,2024-12-15,5TDABAA50RS001805,Norm Reeves Toyota San Diego,CA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks: Chrome[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Cargo Net: Envelope[installed_msrp] | First Aid Kit[installed_msrp] | KARR Security System | Key Gloves[installed_msrp] | Mudguards[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Rear Hatch Cargo Lamps[installed_msrp] | Repel Shield | SPECIAL COLOR
2024,XLE FWD,Midnight Black Metallic,45020,49645,0.0,0,45020,Factory to port,False,DealerHold,2024-12-17T05:00:00.000Z,2024-12-22T05:00:00.000Z,5TDABAA50RS001819,Palmer's Airport Toyota,AL,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats with Cargo Mat | ILA Confirmation | Mudguards | Multimedia Screen Protector | Rear Hatch Cargo Lamps | SET Digital Portfolio | TOYOGUARD Platinum | Tow Hitch
2024,XLE FWD,Midnight Black Metallic,45020,47386,0.0,0,45020,Port to dealer,False,DealerHold,2024-12-13,2024-12-21,5TDABAA50RS001822,Toyota of Orange,CA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Mudguards[installed_msrp] | Roof Rack Cross Bars[installed_msrp]
2024,XLE FWD,Wind Chill Pearl,45020,49794,0.0,1999,47019,Factory to port,False,Available,2024-12-11T00:00:00.000Z,2024-12-31T00:00:00.000Z,5TDABAA50RS001836,Joe Myers Toyota,TX,50 State Emissions | All Weather Floor Liners | Cargo Net | Connectivity Kit | Illuminated Cargo Sill** | Illuminated Door Sills | Integrated Dashcam | Logo Side Puddle Lamps** | Mud Guards | Owner's Portfolio | PDS - with Texas State Inspection | Rear Cargo Organizer | Rear Hatch Cargo Lamps** | SPECIAL COLOR | VIP PROTECTION PACKAGE | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
2024,XLE FWD,Wind Chill Pearl,45020,48743,0.0,0,45020,Factory to port,False,DealerHold,,,5TDABAA50RS27D727,Toyota of Hollywood,FL,50 State Emissions | 6-Gallons of Gas | ILA Confirmation | Mudguards | Premium Paint | Rear Hatch Cargo Lamps | Southeast Toyota Distributor | Tow Hitch
2024,XLE FWD,Celestial Silver Metallic,45020,50572,0.0,0,45020,Factory to port,True,DealerHold,,,5TDABAA50RS27E179,Mark Jacobson Toyota,NC,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats w/All Weather Cargo Mat | Clear Paint Protection - Hood & Door Pkg. | ILA Confirmation | Mudguards | Multimedia Screen Protector | Phone Cable Charge Package | Rear Hatch Cargo Lamps | SET Digital Portfolio | TOYOGUARD Platinum | Tow Hitch
2025,XLE FWD,Wind Chill Pearl,45380,48238,48238.0,0,45380,Factory to port,True,Available,2024-12-28,2025-01-12,5TDABAA50SS36F541,South Bay Toyota,CA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Bench Seat | Cross Bars[installed_msrp] | Door Edge Guards[installed_msrp] | PREMIUM PAINT | Quick Charging Cable Package[installed_msrp]
2025,XLE FWD,Midnight Black Metallic,45380,49876,0.0,0,45380,Factory to port,False,DealerHold,,,5TDABAA50SS37E479,AutoNation Toyota Winter Park,FL,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats with All Weather Cargo Mat | Mudguards | Rear Hatch Cargo Lamps | SET Digital Portfolio | TOYOGUARD Platinum | Tow Hitch
