Year,Model,Color,Base MSRP,Total MSRP,Selling Price,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,eta.currFromDate,eta.currToDate,VIN,Dealer,Dealer State,Options
2024,Circuit Edition AWD,Ice Cap,45140,47388,0.0,0,45140,At dealer,False,Available,,2024-04-26T00:00:00.000Z,JTNABAAE0RA012344,John Harvey Toyota,LA,** Port Installed (CIR) | ** Port Installed (Spoiler) | 50 State Emissions | CIRCUIT EDITION PACKAGE | Connectivity Kit | Frameless HomeLink® Mirror | PDS - Pre Delivery Services | Premium Carpet Mat Set | Spider Cargo Net | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
2024,Circuit Edition AWD,Ice Cap,45140,47388,0.0,0,45140,At dealer,False,Available,,2024-04-26T00:00:00.000Z,JTNABAAE0RA012604,Toyota of Cedar Park,TX,** Port Installed (CIR) | ** Port Installed (Spoiler) | 50 State Emissions | CIRCUIT EDITION PACKAGE | Connectivity Kit | Frameless HomeLink® Mirror | Owner's Portfolio | PDS - Pre Delivery Services | Premium Carpet Mat Set | Spider Cargo Net | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
2024,Premium AWD,Black,40320,41415,0.0,0,40320,At dealer,False,,2024-06-08T00:00:00.000Z,2024-06-13T00:00:00.000Z,JTNABAAE0RA013719,Headquarter Toyota,FL,50 State Emissions | 6-Gallons of Gas - PREMIUM | Premium Package | Southeast Toyota Distributor
2024,Circuit Edition AWD,Ice Cap,45140,47613,0.0,1495,46635,At dealer,False,Available,,,JTNABAAE0RA014675,Sterling McCall Toyota,TX,** Port Installed (CIR) | ** Port Installed (Spoiler) | 50 State Emissions | CIRCUIT EDITION PACKAGE | Connectivity Kit | Frameless HomeLink® Mirror | Owner's Portfolio | PDS - with Texas State Inspection | Premium Carpet Mat Set | Spider Cargo Net | Vehicle Fueling (4 Gal.) | Vehicle Protection Premium Package | iKon Wheel Locks Tint RESISTALL
2024,Circuit Edition AWD,Blue Flame,45140,47579,52574.0,0,45140,At dealer,False,DealerHold,2024-09-19,2024-09-19,JTNABAAE0RA014790,East Coast Toyota,NJ,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | CIRCUIT EDITION PACKAGE | Connected Services Trial Offering: 2 addt'l yrs of Drive Connect & Remote Connect[installed_msrp] | GR Chassis Brace[installed_msrp]
2024,Premium AWD,Ice Cap,40320,42568,0.0,0,40320,At dealer,False,,,,JTNABAAE0RA014997,Toyota of The Desert,CA,50 State Emissions | Connected Services Trial Offering[installed_msrp] | Frameless Homelink Mirror[installed_msrp] | Preferred Accessory Package<br>w/ All-Weather Floor Liner <br>[installed_msrp] | Premium Package | Roof-Rack Cross Bars[installed_msrp]
2024,Premium AWD,Ice Cap,40320,42593,0.0,0,40320,At dealer,False,Available,2024-09-06T00:00:00.000Z,2024-09-10T00:00:00.000Z,JTNABAAE0RA015034,J. Allen Toyota,MS,50 State Emissions | Connectivity Kit | Frameless HomeLink® Mirror | PDS - Pre Delivery Services | Premium Carpet Mat Set | Premium Package | Spider Cargo Net | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
2024,Premium AWD,Black,40320,42608,0.0,0,40320,At dealer,False,Available,2024-09-09,2024-09-09,JTNABAAE0RA015132,Toyota of El Cajon,CA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Black Lug Nuts and Wheel Locks | Cargo Net Envelope[installed_msrp] | Core Grades Shift Knob | Door Sill Protectors[installed_msrp] | First Aid Kit w/ PPE[installed_msrp] | Premium Package | Roof-Rack Cross Bars[installed_msrp]
2024,Core AWD,Black,36500,39414,0.0,1,36501,At dealer,False,Available,2024-10-01,2024-10-01,JTNABAAE0RA015244,Sunshine Toyota,MI,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Frameless Homelink Mirror[installed_msrp] | GR Corolla Shift Knob[installed_msrp] | Performance Package | SUNSHINE TOYOTA PROMISE
2024,Premium AWD,Heavy Metal,40320,43547,0.0,0,40320,At dealer,False,Available,2024-10-19,2024-10-21,JTNABAAE0RA015292,Wilsonville Toyota,OR,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Black Lug Nuts and Wheel Locks | Cargo Net Envelope[installed_msrp] | Carpet Floor Mat Package[installed_msrp] | Core Grades Shift Knob | Door Sill Protectors[installed_msrp] | Emergency Assistance Kit[installed_msrp] | Frameless Homelink Mirror[installed_msrp] | Premium Package | Premium Paint | Roof-Rack Cross Bars[installed_msrp]
