Year,Model,Color,Base MSRP,Total MSRP,Selling Price,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,eta.currFromDate,eta.currToDate,VIN,Dealer,Dealer State,Options
2024,Platinum AWD,Wind Chill Pearl,53125,56602,56602.0,0,53125,At dealer,False,DealerHold,2024-01-29,2024-01-30,5TDEBRCH0RS140792,Joseph Toyota of Cincinnati,OH,50 State Emissions | All-Weather Floor Liners Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Owner's Portfolio | Platinum Package | Special Color | Tow Hitch Receiver w/ Wiring Harness[installed_msrp]
2025,Platinum AWD,Wind Chill Pearl,53675,57337,57337.0,0,53675,Factory to port,False,DealerHold,2025-01-08,2025-01-17,5TDEBRCH0SS01A070,Chicago Northside Toyota,IL,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Cargo Cross Bars[installed_msrp] | Door Edge Guards[installed_msrp] | Platinum Package | Premium Paint | Tow Hitch Receiver w/ Wiring Harness[installed_msrp] | Wheel Locks
2025,Platinum AWD,Heavy Metal,53675,58263,59258.0,995,54670,Factory to port,False,DealerHold,2025-01-14T00:00:00.000Z,2025-02-03T00:00:00.000Z,5TDEBRCH0SS01A330,Bryan College Station Toyota,TX,50 State Emissions | Cargo Cross Bars | Connectivity Kit | Dashcam | Owner's Portfolio | PDS - w/TX State Inspection | PURDY PROTECTION | Platinum Package | Premium Carpet Mat Set | Premium Paint | Rear Cargo Organizer | Running Boards | Vehicle Fueling | Vehicle Protection Package
2025,Platinum AWD,Heavy Metal,53675,56737,58535.0,1798,55473,Factory to port,False,DealerHold,2025-01-05,2025-01-15,5TDEBRCH0SS01A344,Continental Toyota,IL,"50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Platinum Package | Premium Paint | Protection Package, Paint & Interior | Tow Hitch Receiver w/ Wiring Harness[installed_msrp]"
2025,Platinum AWD,Midnight Black Metallic,53675,58352,58352.0,0,53675,Factory to port,False,DealerHold,2025-01-08,2025-01-14,5TDEBRCH0SS01A358,Dan Cava's Toyota World,WV,"50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Body Side Moldings[installed_msrp] | Cargo Cross Bars[installed_msrp] | Connected Services Trial Offering: 2 addt'l yrs of Drive Connect & Remote Connect[installed_msrp] | Door Edge Guards[installed_msrp] | Emergency Assistance Kit[installed_msrp] | First Aid Kit[installed_msrp] | Integrated Dashcam[installed_msrp] | Paint Protection Film: Hood, Fenders, Mirror Backs and Door cups[installed_msrp] | Platinum Package | Tow Hitch Receiver w/ Wiring Harness[installed_msrp] | Wheel Locks"
2025,Platinum AWD,Celestial Silver Metallic,53675,55853,0.0,0,53675,Factory to port,False,,2025-01-11,2025-01-27,5TDEBRCH0SS01A361,Stevens Creek Toyota,CA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Cargo Cross Bars[installed_msrp] | Platinum Package
2025,Platinum AWD,Ruby Flare Pearl,53675,56388,56388.0,0,53675,Factory to port,False,DealerHold,2025-01-15,2025-01-20,5TDEBRCH0SS02A078,Serra Toyota of Saginaw,MI,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Platinum Package | Premium Paint
2025,Platinum AWD,Midnight Black Metallic,53675,57589,57589.0,0,53675,Factory to port,False,DealerHold,2025-01-23,2025-02-04,5TDEBRCH0SS02B005,AutoNation Toyota Cerritos,CA,"50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Cargo Cross Bars[installed_msrp] | Carpet Floor Mat & Cargo Mat Package[installed_msrp] | Paint Protection Film: Hood, Fenders, Mirror Backs and Door cups[installed_msrp] | Platinum Package | Quick Charging Cable Package[installed_msrp] | Tow Hitch Receiver w/ Wiring Harness[installed_msrp] | Wheel Locks"
2025,Platinum AWD,Magnetic Gray Metallic,53675,55503,0.0,0,53675,Factory to port,False,DealerHold,2025-01-18,2025-01-30,5TDEBRCH0SS03A545,Orland Toyota,IL,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Platinum Package
2025,Platinum AWD,Wind Chill Pearl,53675,56068,61068.0,0,53675,Factory to port,False,,2025-01-29,2025-02-17,5TDEBRCH0SS03A853,Bill Page Toyota,VA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Platinum Package | Premium Paint | Wheel Locks
