Year,Model,Color,Base MSRP,Total MSRP,Selling Price,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,eta.currFromDate,eta.currToDate,VIN,Dealer,Dealer State,Options
2023,Limited FWD,Supersonic Red,34465,39022,39022.0,995,35460,At dealer,False,DealerHold,,,JTDACAAU0P3014637,Bryan College Station Toyota,TX,50 State Emissions | Digital rearview mirror | Door Sill Protectors | Heated rear seats | Limited Premium Package | Mud Guards | PDS -with Texas State Inspection | PURDY PROTECTION | Premium Carpet Mat Set | Special Color | Vehicle Protection Premium Package
2024,XLE FWD,Midnight Black Metallic,31395,33839,0.0,0,31395,At dealer,False,DealerHold,,,JTDACAAU0R3031358,Haley Toyota,VA,12.3-in. Toyota Audio Multimedia | 50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Digital Key | Owner's Portfolio
2024,Limited FWD,Midnight Black Metallic,34965,38164,38164.0,0,34965,At dealer,False,Available,,,JTDACAAU0R3032073,Baxter Toyota of La Vista,NE,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Digital rearview mirror | Emergency Kit[installed_msrp] | First Aid Kit[installed_msrp] | Heated rear seats | Limited Premium Package | Quick Charging Cable Package[installed_msrp]
2024,XLE FWD,Reservoir Blue,31395,35568,37467.0,1899,33294,At dealer,False,DealerHold,,,JTDACAAU0R3032199,Wolfchase Toyota,TN,12.3-in. Toyota Audio Multimedia | 50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Body Side Moldings[installed_msrp] | Diamond Ceramic  and Window Tint | Digital Key | Door Edge Guards[installed_msrp] | Fixed glass roof | Mudguards[installed_msrp] | Rear Bumper Appliqué[installed_msrp]
2024,XLE FWD,Cutting Edge,31395,35953,35953.0,0,31395,At dealer,False,Available,2024-08-30,2024-08-30,JTDACAAU0R3032672,Toyota of Santa Maria,CA,"12.3-in. Toyota Audio Multimedia | 50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Digital Key | Fixed glass roof | Integrated Dashcam[installed_msrp] | Mudguards[installed_msrp] | Paint Protection Film (Hood, Fenders, Mirror Backs & Door Cups)[installed_msrp] | Quick Charging Cable Package[installed_msrp]"
2024,XLE FWD,Wind Chill Pearl,31395,35077,0.0,0,31395,At dealer,False,Available,,,JTDACAAU0R3033465,Toyota of Scranton,PA,"12.3-in. Toyota Audio Multimedia | 50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Digital Key | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Owner's Portfolio | Paint Protection Film (Hood, Fenders, Mirror Backs & Door Cups)[installed_msrp] | Rear Bumper Appliqué[installed_msrp] | Special Color"
2024,XLE FWD,Midnight Black Metallic,31395,34025,0.0,0,31395,At dealer,False,Available,2024-09-06T04:00:00.000Z,2024-09-11T04:00:00.000Z,JTDACAAU0R3034177,Stokes Toyota Beaufort,SC,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats | Clear Paint Protection - Door Package | Multimedia Screen Protector | Phone Cable Charge Package | SET Digital Portfolio | TOYOGUARD Platinum
2024,Limited FWD,Supersonic Red,34965,40012,0.0,5590,40555,At dealer,False,Available,2024-09-12T00:00:00.000Z,2024-09-16T00:00:00.000Z,JTDACAAU0R3034230,Toyota of Pharr,TX,3M PPF | 50 State Emissions | Cargo Net | Connectivity Kit | Digital rearview mirror | Door Sill Protectors | FLEX PROTECT | FLEXPROTECT | Floor Mats - All Weather | Heated rear seats | Integrated Dashcam | Limited Premium Package | Mud Guards | Owner's Portfolio | PDS - with Texas State Inspection | PREMIER-PROTECTION -EXTERIOR | Premium Carpet Mat Set: | Special Color | TINT – XPEL   | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
2024,Limited FWD,Cutting Edge,34965,38258,38258.0,0,34965,At dealer,False,Available,,,JTDACAAU0R3034244,Longo Toyota,CA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Digital rearview mirror | Door Edge Guards[installed_msrp] | Heated rear seats | Limited Premium Package | Rear Bumper Appliqué[installed_msrp]
2024,Limited FWD,Midnight Black Metallic,34965,39587,0.0,1496,36461,At dealer,False,Available,2024-09-16T00:00:00.000Z,2024-09-20T00:00:00.000Z,JTDACAAU0R3034390,Bohn Toyota,LA,50 State Emissions | Cargo Net | Connectivity Kit | Digital rearview mirror | Door Sill Protectors | Heated rear seats | I-Kon  | Integrated Dashcam | Limited Premium Package | Mud Guards | Nitrofill Tire Protection Benefit  | Owner's Portfolio | PDS - Pre Delivery Services | Premium Carpet Mat Set: | Vehicle Fueling (4 Gal.) | Vehicle Protection Package | Wheel Locks | Window Tint 
