Year,Model,Color,Base MSRP,Total MSRP,Selling Price,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,eta.currFromDate,eta.currToDate,VIN,Dealer,Dealer State,Options
2024,XSE Premium FWD,Midnight Black Metallic,39370,42018,0.0,0,39370,At dealer,False,DealerHold,2024-02-26,2024-02-26,JTDACACU0R3017540,Norm Reeves Toyota San Diego,CA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Digital rearview mirror | Door Edge Guards[installed_msrp] | Door Sill Protectors | Heated rear seats | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp]
2024,XSE FWD,Cutting Edge,36225,38443,0.0,0,36225,At dealer,False,Available,2024-03-13,2024-03-13,JTDACACU0R3019093,Wilsonville Toyota,OR,"50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Paint Protection Film (Hood, Fender, Mirror Backs and Door Cups)[installed_msrp]"
2024,XSE Premium FWD,Guardian Gray,39670,44242,44242.0,0,39670,At dealer,False,Available,2024-03-19,2024-03-19,JTDACACU0R3019840,Paul Miller Toyota of West Caldwell,NJ,"50 State Emissions | Advanced Technology Package | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Digital rearview mirror | Door Edge Guards[installed_msrp] | Heated rear seats | Mudguards[installed_msrp] | Paint Protection Film (Hood, Fender, Mirror Backs and Door Cups)[installed_msrp] | Rear Bumper Applique[installed_msrp] | Solar charging roof"
2024,XSE Premium FWD,Midnight Black Metallic,39670,42779,41701.0,0,39670,At dealer,False,Available,2024-04-01,2024-04-02,JTDACACU0R3021099,Hoselton Toyota,NY,50 State Emissions | Advanced Technology Package | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Digital rearview mirror | Heated rear seats
2024,SE FWD,Wind Chill Pearl,32975,35084,34584.0,0,32975,At dealer,False,Available,2024-04-10,2024-04-10,JTDACACU0R3021586,Star Toyota of Bayside,NY,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Door Edge Guards[installed_msrp] | Front and Rear Parking Assist with Automatic Braking [pa_ab] | Key Gloves[installed_msrp] | Special Color
2024,XSE FWD,Supersonic Red,36225,39602,0.0,0,36225,At dealer,False,Available,,,JTDACACU0R3023029,Country Toyota,TX,50 State Emissions | Cargo Net | Connectivity Kit | Integrated Dashcam | Mud Guards | Owner's Portfolio | PDS - Pre Delivery Services | Premium Carpet Mat Set: | Special Color | Vehicle Fueling (4 Gal.) | Vehicle Protection Premium Package:
2024,XSE FWD,Midnight Black Metallic,36225,39889,0.0,0,36225,At dealer,False,Available,,,JTDACACU0R3023578,Parkway Toyota,NJ,12.3-in. Toyota Audio Multimedia | 50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Digital Key | Door Edge Guards[installed_msrp] | Fixed glass roof | Mudguards[installed_msrp]
2024,SE FWD,Guardian Gray,32975,35068,35068.0,0,32975,At dealer,False,Available,2024-09-12,2024-09-12,JTDACACU0R3025427,Williams Toyota of Sayre,PA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors | Front and Rear Parking Assist with Automatic Braking [pa_ab] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp]
2024,XSE FWD,Wind Chill Pearl,36225,39440,0.0,0,36225,At dealer,False,Available,2024-08-26T04:00:00.000Z,2024-08-31T04:00:00.000Z,JTDACACU0R3025444,Hendrick Toyota North Charleston,SC,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats with All Weather Cargo Tray | Clear Paint Protection - Door Package | Multimedia Screen Protector | Phone Cable Charge Package | Premium Paint | SET Digital Portfolio | TOYOGUARD Platinum
2024,XSE Premium FWD,Supersonic Red,39670,43843,43843.0,0,39670,At dealer,False,Available,,,JTDACACU0R3025895,Walters Toyota,KY,50 State Emissions | Advanced Technology Package | All-Weather Floor Liner Package[installed_msrp] | Body Side Moldings[installed_msrp] | Digital rearview mirror | Door Edge Guards[installed_msrp] | Heated rear seats | Mudguards[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Special Color
2024,XSE FWD,Wind Chill Pearl,36225,40119,0.0,0,36225,At dealer,False,Available,,,JTDACACU0R3026335,I-5 Toyota,WA,12.3-in. Toyota Audio Multimedia | 50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Digital Key | Fixed glass roof | Mudguards[installed_msrp] | Special Color
2024,XSE FWD,Midnight Black Metallic,36225,38637,0.0,0,36225,At dealer,False,Available,,,JTDACACU0R3027730,Seminole Toyota,FL,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats with All Weather Cargo Tray | PDS Show Cars | Phone Cable Charge Package | TOYOGUARD Platinum
2024,XSE Premium FWD,Wind Chill Pearl,39670,43244,0.0,0,39670,At dealer,False,,,,JTDACACU0R3028098,Toyota of Wellesley,MA,50 State Emissions | Advanced Technology Package | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Digital rearview mirror | Heated rear seats | Special Color
2024,SE FWD,Reservoir Blue,32975,34913,34413.0,0,32975,At dealer,False,,2024-09-26,2024-09-26,JTDACACU0R3028165,Gateway Toyota,NJ,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Door Sill Protectors | Front and Rear Parking Assist with Automatic Braking [pa_ab] | Mudguards[installed_msrp] | Owner's Portfolio | Rear Bumper Applique[installed_msrp]
2024,XSE FWD,Guardian Gray,36225,39919,38919.0,0,36225,At dealer,False,,2024-09-26,2024-09-26,JTDACACU0R3028702,Lee Toyota,ME,12.3-in. Toyota Audio Multimedia | 50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Digital Key | Door Edge Guards[installed_msrp] | Fixed glass roof | Mudguards[installed_msrp] | Quick Charging Cable Package[installed_msrp]
2024,XSE Premium FWD,Wind Chill Pearl,39670,43814,0.0,0,39670,At dealer,False,,2024-10-17,2024-10-17,JTDACACU0R3029025,Woburn Toyota,MA,50 State Emissions | Advanced Technology Package | All-Weather Floor Liner Package[installed_msrp] | Body Side Moldings[installed_msrp] | Digital rearview mirror | Door Edge Guards[installed_msrp] | Heated rear seats | Mudguards[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Special Color
2024,XSE Premium FWD,Reservoir Blue,39670,43873,0.0,0,39670,At dealer,False,DealerHold,,,JTDACACU0R3029218,Autoland Toyota,NJ,50 State Emissions | Advanced Technology Package | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Digital rearview mirror | Door Edge Guards[installed_msrp] | Heated rear seats | Mudguards[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Solar charging roof
2024,XSE Premium FWD,Midnight Black Metallic,39670,42963,42963.0,0,39670,At dealer,False,,2024-10-01,2024-10-03,JTDACACU0R3029493,Longo Toyota,CA,50 State Emissions | Advanced Technology Package | All-Weather Floor Liner Package[installed_msrp] | Digital rearview mirror | Door Edge Guards[installed_msrp] | Heated rear seats | Rear Bumper Applique[installed_msrp]
2024,XSE FWD,Cutting Edge,36225,39324,0.0,0,36225,At dealer,False,Available,2024-12-12T05:00:00.000Z,2024-12-17T05:00:00.000Z,JTDACACU0R3029655,Village Cadillac-Toyota,FL,12.3-in. Toyota Audio Multimedia | 50 State Emissions | 6-Gallons of Gas | Digital Key Capable | Fixed Glass Roof | Phone Cable Charge Package | Southeast Toyota Distributor
2024,SE FWD,Wind Chill Pearl,32975,35018,34518.0,0,32975,At dealer,False,,,,JTDACACU0R3030062,Star Toyota of Bayside,NY,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Front and Rear Parking Assist with Automatic Braking [pa_ab] | Rear Bumper Applique[installed_msrp] | Special Color
2024,XSE FWD,Guardian Gray,36225,40057,38937.0,0,36225,At dealer,False,,,,JTDACACU0R3030238,Toyota Chula Vista,CA,12.3-in. Toyota Audio Multimedia | 50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Cargo Net | Digital Key | Door Edge Guards[installed_msrp] | Fixed glass roof | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp]
2024,XSE Premium FWD,Midnight Black Metallic,39670,42963,42963.0,0,39670,At dealer,False,,,,JTDACACU0R3030403,Longo Toyota,CA,50 State Emissions | Advanced Technology Package | All-Weather Floor Liner Package[installed_msrp] | Digital rearview mirror | Door Edge Guards[installed_msrp] | Heated rear seats | Rear Bumper Applique[installed_msrp]
2024,XSE Premium FWD,Midnight Black Metallic,39670,43579,0.0,0,39670,At dealer,False,Available,2024-10-22T00:00:00.000Z,2024-10-26T00:00:00.000Z,JTDACACU0R3030546,Mac Haik Toyota,TX,50 State Emissions | Advanced Technology Package | Cargo Net | Connectivity Kit | Digital rearview mirror | Heated rear seats | Owner's Portfolio | PDS - with Texas State Inspection | Premium Carpet Mat Set: | Vehicle Fueling (4 Gal.) | Vehicle Protection Premium Package:
2024,XSE FWD,Guardian Gray,36225,38214,0.0,0,36225,At dealer,False,,2024-10-30,2024-10-30,JTDACACU0R3030594,Thornhill Toyota,WV,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors | Mudguards[installed_msrp] | Owner's Portfolio
2024,SE FWD,Supersonic Red,32975,35414,35414.0,0,32975,At dealer,False,,,,JTDACACU0R3030630,"Glen Motors, Inc.",NJ,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Special Color
