Year,Model,Color,Base MSRP,Total MSRP,Selling Price,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,eta.currFromDate,eta.currToDate,VIN,Dealer,Dealer State,Options
2025,SE AWD,Magnetic Gray Metallic,43865,47254,0.0,1295,45160,Factory to port,False,,2025-01-28,2025-02-13,JTMAB3FV0S152AP98,Toyota Marin,CA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Stargard | Weather & Moonroof Package
2025,SE AWD,Blueprint,43865,47429,47429.0,0,43865,Factory to port,False,,2025-01-29,2025-02-09,JTMAB3FV0S152AQ03,One Toyota of Oakland,CA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Frameless Homelink® Mirror[installed_msrp] | Weather & Moonroof Package
2025,SE AWD,Midnight Black Metallic,43865,47429,0.0,0,43865,Port to dealer,True,DealerHold,2024-12-24,2024-12-25,JTMAB3FV0SD234671,Culver City Toyota,CA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Weather & Moonroof Package
2025,SE AWD,Silver Sky Metallic,43865,47744,0.0,0,43865,At dealer,False,,2024-12-18,2024-12-18,JTMAB3FV0SD234928,Nucar Toyota of Norwood,MA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Weather & Moonroof Package
2025,SE AWD,Blueprint,43865,48332,48332.0,0,43865,Port to dealer,False,,2024-12-23,2025-01-05,JTMAB3FV0SD235268,Jim Coleman Toyota,MD,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Body Side Moldings[installed_msrp] | Cross Bars[installed_msrp] | Door Sill Protectors[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Weather & Moonroof Package
2025,SE AWD,Midnight Black Metallic,43865,47903,0.0,0,43865,Port to dealer,False,,2024-12-23,2025-01-05,JTMAB3FV0SD235349,Toyota of Morristown,NJ,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Weather & Moonroof Package
2025,SE AWD,Magnetic Gray Metallic,43865,47973,0.0,0,43865,Port to dealer,True,DealerHold,2024-12-23,2024-12-26,JTMAB3FV0SD235433,Norm Reeves Toyota San Diego,CA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Weather & Moonroof Package
2025,SE AWD,Ice Cap,43865,48322,48322.0,0,43865,Port to dealer,False,DealerHold,2024-12-24,2024-12-31,JTMAB3FV0SD235528,Toyota of Batavia,NY,"50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Cross Bars[installed_msrp] | Mudguards[installed_msrp] | Paint Protection Film: Hood, Fenders, Mirror Backs & Door Cups[installed_msrp] | Rear Bumper Applique[installed_msrp] | Weather & Moonroof Package"
2025,SE AWD,Magnetic Gray Metallic,43865,47624,0.0,0,43865,At dealer,False,Available,2024-12-18T05:00:00.000Z,2024-12-23T05:00:00.000Z,JTMAB3FV0SD235609,Toyota of North Miami,FL,50 State Emissions | 6-Gallons of Gas | SET Digital Portfolio | TOYOGUARD Platinum | Weather & Moonroof Package
2025,SE AWD,Midnight Black Metallic,43865,47344,0.0,0,43865,Port to dealer,False,DealerHold,2024-12-23,2024-12-24,JTMAB3FV0SD235738,Tufankjian Toyota of Braintree,MA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Weather & Moonroof Package
