Year,Model,Color,Base MSRP,Total MSRP,Selling Price,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,eta.currFromDate,eta.currToDate,VIN,Dealer,Dealer State,Options
2025,LE FWD,Ice Cap,39185,43395,43395.0,0,39185,Factory to port,True,,2025-01-14,2025-01-27,5TDBRKEC0SS01A819,Toyota Chula Vista,CA,50 State Emissions | All-Weather Floor Liners[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Cargo Cross Bars[installed_msrp] | Illuminated Door Sills[installed_msrp] | LE Plus Package | Mudguards[installed_msrp]
2025,LE FWD,Celestial Silver Metallic,39185,42915,42915.0,0,39185,Factory to port,False,,,,5TDBRKEC0SS01A948,Haley Toyota of Richmond,VA,50 State Emissions | All-Weather Floor Liners[installed_msrp] | Alloy Wheel Locks[installed_msrp] | LE Plus Package | Mudguards[installed_msrp] | Spare tire
2025,LE FWD,Celestial Silver Metallic,39185,43146,0.0,3117,42302,Factory to port,False,,,,5TDBRKEC0SS02D246,Norm Reeves Toyota San Diego,CA,50 State Emissions | All-Weather Floor Liners[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Cargo Cross Bars[installed_msrp] | Cargo Net-Envelope with Pouch[installed_msrp] | First Aid Kit[installed_msrp] | KARR Security System | LE Plus Package | Mudguards[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Repel Shield
2025,LE FWD,Ruby Flare Pearl,39185,44147,0.0,0,39185,At dealer,False,Available,2024-11-06T00:00:00.000Z,2024-11-10T00:00:00.000Z,5TDBRKEC0SS227654,Greg Leblanc Toyota,LA,50 State Emissions | Cargo Net | Connectivity Kit | LE Plus Package | Mud Guards | PDS - Pre Delivery Services | Premium Carpet Mat Set | Premium Paint | Rear Cargo Organizer | Vehicle Fueling (6 Gal.) | Vehicle Protection Package
2025,LE FWD,Celestial Silver Metallic,39185,42735,0.0,0,39185,At dealer,False,DealerHold,2024-11-14,2024-11-14,5TDBRKEC0SS229274,Galaxy Toyota,NJ,50 State Emissions | All-Weather Floor Liners[installed_msrp] | Cargo Tray[installed_msrp] | LE Plus Package | Owner's Portfolio
2025,LE FWD,Ice Cap,39185,43090,0.0,0,39185,At dealer,False,,2024-12-04,2024-12-05,5TDBRKEC0SS232143,Fordham Toyota,NY,50 State Emissions | All-Weather Floor Liners[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Body Side Moldings[installed_msrp] | LE Plus Package | Mudguards[installed_msrp]
2025,LE FWD,Ice Cap,39185,42685,42685.0,0,39185,At dealer,False,,2024-12-05,2024-12-05,5TDBRKEC0SS232921,Hillside Toyota,NY,50 State Emissions | All-Weather Floor Liners[installed_msrp] | Alloy Wheel Locks[installed_msrp] | LE Plus Package
2025,LE FWD,Ice Cap,39185,43030,0.0,0,39185,Port to dealer,True,DealerHold,2024-12-09,2024-12-11,5TDBRKEC0SS233180,Culver City Toyota,CA,50 State Emissions | All-Weather Floor Liners[installed_msrp] | Cargo Cross Bars[installed_msrp] | LE Plus Package | Mudguards[installed_msrp] | Quick Charging Cable Package[installed_msrp]
2025,LE FWD,Ruby Flare Pearl,39185,43396,43396.0,0,39185,At dealer,False,DealerHold,2024-12-09,2024-12-09,5TDBRKEC0SS233700,Lynch Toyota,CT,"50 State Emissions | Alloy Wheel Locks[installed_msrp] | LE Plus Package | Outdoor Package:First Aid Kit, All Weather Floor Liners, Cross Bars | Premium Paint"
2025,LE FWD,Magnetic Gray Metallic,39185,43496,45686.0,2190,41375,Port to dealer,False,,2024-12-16,2024-12-24,5TDBRKEC0SS235091,Sansone Toyota,NJ,50 State Emissions | All-Weather Floor Liners[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Cargo Cross Bars[installed_msrp] | Emergency Assistance Kit[installed_msrp] | First Aid Kit[installed_msrp] | Flex Protect - 3 Years (Optional) | Illuminated Door Sills[installed_msrp] | LE Plus Package | Mudguards[installed_msrp] | RoadWire - Interior Extended Care - 3 Years (Optional)
2025,LE FWD,Magnetic Gray Metallic,39185,44569,0.0,0,39185,Factory to port,False,Available,2024-12-17T00:00:00.000Z,2025-01-06T00:00:00.000Z,5TDBRKEC0SS235298,AutoNation Toyota Gulf Freeway,TX,50 State Emissions | All-Weather Floor Liners | Connectivity Kit | Cross Bars for Roof Rail | Integrated Dashcam | LE Plus Package | Mud Guards | Owner's Portfolio | PDS - w/TX State Inspection | Rear Cargo Organizer | Vehicle Fueling (6 Gal.) | Vehicle Protection Premium Package
2025,LE FWD,Ruby Flare Pearl,39185,43714,43714.0,0,39185,Port to dealer,False,DealerHold,2024-12-16,2024-12-28,5TDBRKEC0SS235589,Lynch Toyota,CT,50 State Emissions | Alloy Wheel Locks[installed_msrp] | Cargo Organizer[installed_msrp] | LE Plus Package | Mudguards[installed_msrp] | Preferred Accessory Package w/ All-Weather Floor Liners[installed_msrp] | Premium Paint | Spare tire
2025,LE FWD,Ice Cap,39185,43471,0.0,0,39185,Factory to port,False,DealerHold,2024-12-20T00:00:00.000Z,2025-01-09T00:00:00.000Z,5TDBRKEC0SS235608,Oakes Toyota,MS,50 State Emissions | Connectivity Kit | Cross Bars for Roof Rail | LE Plus Package | Mud Guards | PDS - Pre Delivery Services | Premium Carpet Mat Set | Rear Cargo Organizer | Vehicle Fueling (6 Gal.)
2025,LE FWD,Ice Cap,39185,43500,46585.0,3085,42270,Factory to port,False,DealerHold,2024-12-21,2025-01-06,5TDBRKEC0SS50C606,Toyota of Glendale,CA,50 State Emissions | All-Weather Floor Liners[installed_msrp] | Cargo Cross Bars[installed_msrp] | Illuminated Door Sills[installed_msrp] | LE Plus Package | NanoCure Ceramic  | SiriusXM® Trial Offering: 33 Months[installed_msrp] | Skyforce Theft Deterrent
2025,LE FWD,Ice Cap,39185,43105,48105.0,0,39185,Factory to port,True,DealerHold,2024-12-19,2024-12-31,5TDBRKEC0SS50D089,North Bakersfield Toyota,CA,50 State Emissions | All-Weather Floor Liners[installed_msrp] | Cargo Cross Bars[installed_msrp] | Cilajet-Paint Prot | LE Plus Package | Mudguards[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Spare tire
2025,LE FWD,Blueprint,39185,44644,0.0,0,39185,Factory to port,False,Available,2024-12-23T00:00:00.000Z,2025-01-12T00:00:00.000Z,5TDBRKEC0SS50D965,Toyota of Cedar Park,TX,50 State Emissions | Connectivity Kit | Cross Bars for Roof Rail | Integrated Dashcam | LE Plus Package | Mud Guards | Owner's Portfolio | PDS - w/TX State Inspection | Premium Carpet Mat Set | Rear Cargo Organizer | Spare tire | Vehicle Fueling (6 Gal.) | Vehicle Protection Premium Package
