Year,Model,Color,Base MSRP,Total MSRP,Selling Price,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,eta.currFromDate,eta.currToDate,VIN,Dealer,Dealer State,Options
2024,3.0 Premium RWD,Stratosphere,58550,63014,0.0,0,58550,At dealer,False,Available,2024-06-25,2024-06-25,WZ1DB0G00RW066691,Parkway Toyota,NJ,50 State Emissions | Alloy Wheel Locks[installed_msrp] | Carbon Fiber Mirror Caps[installed_msrp] | Carpet Cargo Mat[installed_msrp] | Driver Assist Package (For AT only) | Emergency Assistance Kit[installed_msrp] | First Aid Kit w/ PPE[installed_msrp] | Paint Protection Film (Hood and Door Cups)[installed_msrp] | Premium Package | Quick Charging Cable Package[installed_msrp] | Special Color
2025,3.0 RWD,Stratosphere,56250,61634,0.0,0,56250,Factory to port,True,Available,2024-12-11T00:00:00.000Z,2024-12-21T00:00:00.000Z,WZ1DB0G00SW069192,Round Rock Toyota,TX,50 State Emissions | Carpet Cargo Mat | Connectivity Kit | Owner's Portfolio | Premium Paint | Safety & Technology Package Plus JBL® (For AT only) | Vehicle Fueling (4 gal.) | Vehicle Protection Package:
2025,3.0 RWD,Nocturnal,56250,62764,0.0,0,56250,At dealer,False,Available,2024-11-29T05:00:00.000Z,2024-12-04T05:00:00.000Z,WZ1DB0G00SW069208,Valdosta Toyota,GA,50 State Emissions | 6-Gallons of Gas - PREMIUM | Carbon Fiber Mirror Caps | Carpet Cargo Mat | Emergency Assistance Kit | First Aid Kit | Phone Cable Charge Package | SAFETY & TECHNOLOGY PACKAGE PLUS JBL | SET Digital Portfolio | TOYOGUARD Platinum
2025,3.0 Premium RWD,Absolute Zero,59400,60755,0.0,0,59400,Factory to port,True,DealerHold,2024-12-09,2024-12-10,WZ1DB0G00SW069256,Folsom Lake Toyota,CA,50 State Emissions | Alloy Wheel Locks[installed_msrp] | Cargo Tote[installed_msrp] | PREMIUM PACKAGE | Quick Charging Cable Package[installed_msrp]
2025,3.0 Premium RWD,Renaissance Red 2.0,59400,61930,61930.0,0,59400,Factory to port,True,DealerHold,2024-12-09,2024-12-15,WZ1DB0G00SW069385,DCH Brunswick Toyota,NJ,50 State Emissions | Alloy Wheel Locks[installed_msrp] | Driver Assist Package (For AT only) | Owner's Portfolio | PREMIUM PACKAGE | UV Sunshade (Windshield) - GR
2025,3.0 RWD,Absolute Zero,56250,60739,0.0,0,56250,Factory to port,False,Available,2024-12-13T05:00:00.000Z,2024-12-18T05:00:00.000Z,WZ1DB0G00SW069483,Seminole Toyota,FL,50 State Emissions | 6-Gallons of Gas - PREMIUM | Carpet Cargo Mat | SAFETY & TECHNOLOGY PACKAGE PLUS JBL | SET Digital Portfolio
2025,3.0 Premium MT RWD,Renaissance Red 2.0,59400,61730,0.0,0,59400,Factory to port,False,DealerHold,2024-12-24,2025-01-22,WZ1DB0G00SW069645,Big Two Toyota of Chandler,AZ,50 State Emissions | Driver Assist Package (For MT only) | PREMIUM PACKAGE
2025,3.0 Premium RWD,Absolute Zero,59400,62420,0.0,0,59400,Factory to port,False,,2025-01-13,2025-01-27,WZ1DB0G00SW069709,Koch 33 Toyota,PA,50 State Emissions | Driver Assist Package (For AT only) | GR Strut Tie Brace | PREMIUM PACKAGE | Quick Charging Cable Package[installed_msrp]
2025,3.0 Premium MT RWD,Renaissance Red 2.0,59400,62465,0.0,0,59400,Factory to port,False,,2025-02-23,2025-04-17,WZ1DB0G00SW070018,Wyatt Johnson Toyota,TN,50 State Emissions | Alloy Wheel Locks[installed_msrp] | Carpet Cargo Mat[installed_msrp] | Driver Assist Package (For MT only) | First Aid Kit[installed_msrp] | PREMIUM PACKAGE | Paint Protection Film (Hood and Door Cups)[installed_msrp] | Quick Charging Cable Package[installed_msrp]
2025,3.0 Premium MT RWD,Stratosphere,59400,62335,0.0,0,59400,Factory to port,False,,2025-02-22,2025-04-18,WZ1DB0G00SW49AA41,Ken Ganley Toyota Akron,OH,50 State Emissions | Carpet Cargo Mat[installed_msrp] | Driver Assist Package (For MT only) | PREMIUM PACKAGE | Premium Paint | Quick Charging Cable Package[installed_msrp]
2024,3.0 Premium RWD,Stratosphere,58550,61994,60994.0,0,58550,At dealer,False,Available,,,WZ1DB0G01RW067591,Tom Wood Toyota,IN,50 State Emissions | Alloy Wheel Locks[installed_msrp] | Carpet Cargo Mat[installed_msrp] | Driver Assist Package (For MT only) | Emergency Assistance Kit[installed_msrp] | Paint Protection Film (Hood and Door Cups)[installed_msrp] | Premium Color | Premium Package
2025,3.0 Premium RWD,Absolute Zero,59400,62259,62259.0,0,59400,At dealer,False,DealerHold,2024-11-29,2024-11-29,WZ1DB0G01SW069234,Toyota of Batavia,NY,50 State Emissions | Alloy Wheel Locks[installed_msrp] | Driver Assist Package (For AT only) | Owner's Portfolio | PREMIUM PACKAGE | Paint Protection Film (Hood and Door Cups)[installed_msrp]
2025,3.0 Premium MT RWD,Absolute Zero,59400,61730,0.0,0,59400,Port to dealer,False,DealerHold,2024-12-13,2025-01-04,WZ1DB0G01SW069394,Right Toyota,AZ,50 State Emissions | Driver Assist Package (For MT only) | PREMIUM PACKAGE
2025,3.0 Premium RWD,Stratosphere,59400,64004,65499.0,1495,60895,Factory to port,True,DealerHold,2024-12-08T00:00:00.000Z,2024-12-28T00:00:00.000Z,WZ1DB0G01SW069508,Cavender Toyota,TX,50 State Emissions | Carbon Fiber Mirror Caps | Carpet Cargo Mat | Cavender Protection Package | Connectivity Kit | Driver Assist Package (For AT only) | Owner's Portfolio | PREMIUM PACKAGE | Premium Paint | Vehicle Fueling (4 gal.) | Vehicle Protection Ultra Package:
2025,3.0 Premium RWD,Renaissance Red 2.0,59400,62075,0.0,0,59400,Factory to port,False,DealerHold,2025-01-18,2025-02-12,WZ1DB0G01SW069606,Rick Collins Toyota,IA,50 State Emissions | Alloy Wheel Locks[installed_msrp] | Carpet Cargo Mat[installed_msrp] | Driver Assist Package (For AT only) | Emergency Assistance Kit[installed_msrp] | Owner's Portfolio | PREMIUM PACKAGE | Quick Charging Cable Package[installed_msrp]
2025,3.0 Premium MT RWD,Nocturnal,59400,62026,62026.0,0,59400,Factory to port,False,,2025-01-13,2025-01-30,WZ1DB0G01SW069959,AutoNation Toyota Cerritos,CA,50 State Emissions | Alloy Wheel Locks[installed_msrp] | Carpet Cargo Mat[installed_msrp] | Driver Assist Package (For MT only) | First Aid Kit[installed_msrp] | PREMIUM PACKAGE | Quick Charging Cable Package[installed_msrp]
2025,3.0 Premium MT RWD,Absolute Zero,59400,61820,0.0,0,59400,Factory to port,False,DealerHold,2025-01-18,2025-02-15,WZ1DB0G01SW070013,Toyota of Lake City,WA,50 State Emissions | Alloy Wheel Locks[installed_msrp] | Driver Assist Package (For MT only) | PREMIUM PACKAGE
2025,3.0 Premium RWD,Renaissance Red 2.0,59400,61930,61930.0,0,59400,Factory to port,False,,,,WZ1DB0G01SW50AA26,Hillside Toyota,NY,50 State Emissions | Alloy Wheel Locks[installed_msrp] | Carpet Cargo Mat[installed_msrp] | Driver Assist Package (For AT only) | PREMIUM PACKAGE
2025,3.0 Premium MT RWD,Renaissance Red 2.0,59400,61730,61730.0,0,59400,Factory to port,False,,,,WZ1DB0G01SW50AA43,Toyota on Nicholasville,KY,50 State Emissions | Driver Assist Package (For MT only) | PREMIUM PACKAGE
2024,3.0 Premium RWD,Nocturnal,58550,62729,0.0,0,58550,At dealer,False,DealerHold,,,WZ1DB0G02RW068037,Toyota of Cedar Park,TX,50 State Emissions | Carbon Fiber Mirror Caps | Carpet Cargo Mat | Connectivity Kit | Driver Assist Package (For MT only) | Owner's Portfolio | Premium Package | Vehicle Fueling (4 gal.) | Vehicle Protection Ultra Package
2025,3.0 Premium MT RWD,Absolute Zero,59400,62214,0.0,799,60199,Factory to port,True,Available,2024-12-18T00:00:00.000Z,2025-01-07T00:00:00.000Z,WZ1DB0G02SW069324,Landers Toyota NWA,AR,50 State Emissions | APP PACK | Driver Assist Package (For MT only) | Lemon Law Book | Owner's Portfolio | PREMIUM PACKAGE | Vehicle Fueling (4 gal.) | Vehicle Protection Package:
2025,3.0 MT RWD,Nocturnal,56250,60345,0.0,0,56250,Factory to port,False,DealerHold,2024-12-16T05:00:00.000Z,2024-12-21T05:00:00.000Z,WZ1DB0G02SW069517,Toyota of Greenville,SC,50 State Emissions | 6-Gallons of Gas - PREMIUM | Associate Purchase Cars | SAFETY & TECHNOLOGY PACKAGE PLUS JBL
2025,3.0 Premium MT RWD,Renaissance Red 2.0,59400,62440,0.0,0,59400,Factory to port,False,,2024-12-09,2025-01-19,WZ1DB0G02SW069548,Voss Toyota,OH,50 State Emissions | Alloy Wheel Locks[installed_msrp] | Driver Assist Package (For MT only) | GR Strut Tie Brace | PREMIUM PACKAGE
2025,3.0 Premium MT RWD,Nocturnal,59400,63324,0.0,0,59400,Factory to port,False,DealerHold,2024-12-17T00:00:00.000Z,2025-01-06T00:00:00.000Z,WZ1DB0G02SW069579,Sterling McCall Toyota Fort Bend,TX,50 State Emissions | Carbon Fiber Mirror Caps | Carpet Cargo Mat | Connectivity Kit | Driver Assist Package (For MT only) | PREMIUM PACKAGE | Vehicle Fueling (4 gal.) | Vehicle Protection Package:
2025,3.0 Premium MT RWD,Nocturnal,59400,63579,63579.0,0,59400,Factory to port,False,DealerHold,2024-12-20T00:00:00.000Z,2025-01-09T00:00:00.000Z,WZ1DB0G02SW069601,Red McCombs Toyota,TX,50 State Emissions | Carbon Fiber Mirror Caps | Carpet Cargo Mat | Connectivity Kit | Driver Assist Package (For MT only) | Owner's Portfolio | PREMIUM PACKAGE | Vehicle Fueling (4 gal.) | Vehicle Protection Ultra Package:
2025,3.0 Premium MT RWD,Absolute Zero,59400,63085,0.0,3675,63075,Factory to port,True,DealerHold,2024-12-19,2025-01-05,WZ1DB0G02SW069646,Kearny Mesa Toyota,CA,3M Premium Shield Package | 50 State Emissions | Alloy Wheel Locks[installed_msrp] | CATALYTIC CONVERTER VIN ETCHING | Carpet Cargo Mat[installed_msrp] | Diamond Ceramic | Driver Assist Package (For MT only) | First Aid Kit[installed_msrp] | GR Strut Tie Brace | KARR Security System | PREMIUM PACKAGE | Paint Protection Film (Hood and Door Cups)[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Window Tint
2025,3.0 Premium MT RWD,Absolute Zero,59400,63394,0.0,0,59400,Factory to port,True,Available,2024-12-28T00:00:00.000Z,2025-01-17T00:00:00.000Z,WZ1DB0G02SW069694,Toyota of Del Rio,TX,50 State Emissions | Carbon Fiber Mirror Caps | Driver Assist Package (For MT only) | Owner's Portfolio | PREMIUM PACKAGE | Vehicle Fueling (4 gal.) | Vehicle Protection Ultra Package:
