Year,Model,Color,Base MSRP,Total MSRP,Selling Price,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,eta.currFromDate,eta.currToDate,VIN,Dealer,Dealer State,Options
2024,Limited AWD,Heavy Metal,45650,48652,0.0,0,45650,At dealer,False,Available,,2023-12-16,JTDAAAAF0R3021839,John Harvey Toyota,LA,50 State Emissions | Cargo Net | Connectivity Kit | Harvey Discount | Illuminated Door Sills | Luxury Package | Mud Guards | PDS - Pre Delivery Services | Premium Carpet Mat Set: | Premium Paint Charge | Vehicle Fueling | Vehicle Protection Package
2024,Limited AWD,Magnetic Gray Metallic,45650,50719,0.0,0,45650,At dealer,True,DealerHold,2024-02-06,2024-02-07,JTDAAAAF0R3024546,O'Brien Toyota,IN,50 State Emissions | Advanced Tech Package | All-Weather Floor Liner Package[installed_msrp] | Door Edge Film | Luxury Package
2025,XLE AWD,Black [illustrative],41440,43507,0.0,0,41440,Factory to port,False,,2025-01-11,2025-01-29,JTDAAAAF0S150AG19,Manhattan Beach Toyota,CA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Carpet Mat Package[installed_msrp] | Mudguards[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp]
2025,Limited AWD,Oxygen White,45950,47994,49493.0,1499,47449,Factory to port,False,,2025-01-16,2025-02-13,JTDAAAAF0S150BD48,Toyota of Surprise,AZ,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Diamond Ceramic Premier Protection  | Logo Side Puddle Lamp[installed_msrp] | Luxury Package | Premium Paint Charge
2025,Limited AWD,Heavy Metal,45950,52169,0.0,0,45950,Factory to port,False,,2025-01-25,2025-02-20,JTDAAAAF0S150CC42,Toyota of Gallatin,TN,50 State Emissions | Advanced Tech Package | All-Weather Floor Liner Package[installed_msrp] | Door Edge Film[installed_msrp] | Illuminated Door Sills[installed_msrp] | Logo Side Puddle Lamp[installed_msrp] | Luxury Package | Mudguards[installed_msrp] | Premium Paint Charge
2025,Nightshade AWD,Black [illustrative],48765,51028,47928.0,0,48765,At dealer,True,Available,2024-09-18,2024-09-18,JTDAAAAF0S3032569,Rogers Toyota,ID,50 State Emissions | All Weather Floor Liners/Cargo Tray | Door Edge Film[installed_msrp] | Illumination Package[installed_msrp] | Key Glove[installed_msrp] | Mudguards[installed_msrp] | Nightshade Edition | Rear Bumper Applique[installed_msrp]
2025,Nightshade AWD,Black [illustrative],48765,50219,48030.0,0,48765,At dealer,False,Available,2024-09-26,2024-09-27,JTDAAAAF0S3033379,Bennett Toyota of Lebanon,PA,50 State Emissions | All Weather Floor Liners/Cargo Tray | Nightshade Edition
2025,Nightshade AWD,Storm Cloud [illustrative],48765,51068,0.0,0,48765,At dealer,False,Available,2024-10-07T04:00:00.000Z,2024-10-12T04:00:00.000Z,JTDAAAAF0S3033656,Toyota of Gastonia,NC,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats with All Weather Trunk Mat | Nightshade Edition | SET Digital Portfolio | TOYOGUARD Platinum
2025,Limited AWD,Storm Cloud [illustrative],45950,52990,0.0,199,46149,At dealer,False,Available,2024-11-30T00:00:00.000Z,2024-12-04T00:00:00.000Z,JTDAAAAF0S3033897,Poe Toyota,TX,50 State Emissions | Advanced Tech Package | Cargo Net | Connectivity Kit | Dash Cam | Illuminated Door Sills | Luxury Package | Mud Guards | PDS - w/TX State Inspection | Premium Carpet Mat Set | Rear Cargo Organizer | VIN Etching | Vehicle Fueling | Vehicle Protection Premium Package
2025,Limited AWD,Oxygen White,45950,49645,0.0,0,45950,At dealer,True,Available,2024-11-29T00:00:00.000Z,2024-12-03T00:00:00.000Z,JTDAAAAF0S3033916,Texas Toyota of Grapevine,TX,50 State Emissions | Cargo Net | Connectivity Kit | Dash Cam | Illuminated Door Sills | Luxury Package | Mud Guards | PDS - w/TX State Inspection | Premium Carpet Mat Set | Premium Paint Charge | Rear Cargo Organizer | Vehicle Fueling | Vehicle Protection Package
