Year,Model,Color,Base MSRP,Total MSRP,Selling Price,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,eta.currFromDate,eta.currToDate,VIN,Dealer,Dealer State,Options
2024,Tundra Limited 4x2,Lunar Rock,57625,63246,0.0,0,57625,At dealer,False,,2024-05-09T00:00:00.000Z,2024-05-14T00:00:00.000Z,5TFJC5AB5RX003795,McKinnon Toyota,AL,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats | Heated Leather Steering Wheel | Limited Power Package - | Paint Protection Film - Hood & Door Package | Power tilt/slide panoramic roof | SET Digital Portfolio | TOYOGUARD Platinum
2024,Tundra Limited 4x4,Midnight Black Metallic,60625,66449,63245.0,0,60625,At dealer,False,,2024-02-07,2024-02-12,5TFJC5DB0RX061938,Bayside Toyota,MD,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Heated Leather-Wrapped Steering Wheel | JBL® Premium Audio | Limited PVM Package | Limited Power Package | Limited Premium Package | PVM + BSM Outer Mirrors | Panoramic Roof
2024,Tundra Limited 4x4,Ice Cap,60625,67774,0.0,0,60625,At dealer,False,Available,,2024-02-14,5TFJC5DB0RX063754,Fowler Toyota of Tulsa,OK,50 State Emissions | Bed Step ** | Catalytic Converter Shield | Connectivity Kit | Dual-Step Running Board - Black ** | Heated Leather-Wrapped Steering Wheel | JBL® Premium Audio | Limited PVM Package | Limited Power Package | Limited Premium Package | Mud Guards | Non-Skid Spray-On Bed Liner** | Owner's Portfolio | PDS - Pre Delivery Services | PVM + BSM Outer Mirrors | Tailgate Insert - Black | Vehicle Fueling (10 gal.)
2024,Tundra Limited 4x4,Magnetic Gray Metallic,60625,67537,0.0,0,60625,At dealer,False,Available,2024-04-17,2024-04-17,5TFJC5DB0RX074642,Hertrich Toyota,DE,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Black Front Bumper Insert[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Heated Leather-Wrapped Steering Wheel | JBL® Premium Audio | Limited PVM Package | Limited Power Package | Limited Premium Package | PVM + BSM Outer Mirrors | Panoramic Roof | Predator Steps[installed_msrp] | Tailgate Insert Badge - Black[installed_msrp]
2024,Tundra Limited 4x4,Celestial Silver Metallic,60625,68595,0.0,0,60625,At dealer,False,Available,2024-05-06T00:00:00.000Z,2024-05-11T00:00:00.000Z,5TFJC5DB0RX075385,Toyota of Deerfield Beach,FL,12-Speaker JBL Premium Audio | 50 State Emissions | 6-Gallons of Gas | Heated Leather Steering Wheel | Limited Power Package - | Limited Premium Package - | PVM + BSM Outer Mirrors | Paint Protection Film - Hood & Door Package | Panoramic View Monitor (PVM) | Phone Cable Charge Package | Power tilt/slide panoramic roof | SET Digital Portfolio | Spray-in Bedliner | TOYOGUARD Platinum
2024,Tundra Limited 4x4,Celestial Silver Metallic,60625,65846,0.0,0,60625,At dealer,False,Available,2024-06-03,2024-06-03,5TFJC5DB0RX077038,San Francisco Toyota,CA,"50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Courtesy Delivery Sticker | JBL® Premium Audio | Limited PVM Package | Limited Premium Package | PVM + BSM Outer Mirrors | Paint Protection Film (Hood, Fenders, Door Cups & Mirror Backs)[installed_msrp] | Spray-On Bedliner[installed_msrp] | Tailgate Insert Badge - Black[installed_msrp]"
2024,Tundra Limited 4x4,Supersonic Red,60625,68207,63956.0,0,60625,At dealer,False,Available,2024-05-06,2024-05-07,5TFJC5DB0RX078058,Lia Toyota of Rockland,NY,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Ball Mount | Hard Tri-Fold Tonneau Cover[installed_msrp] | Heated Leather-Wrapped Steering Wheel | JBL® Premium Audio | Limited PVM Package | Limited Power Package | Limited Premium Package | PVM + BSM Outer Mirrors | Special Color | TRD Cast Aluminum Running Boards[installed_msrp]
2025,Tundra Limited 4x4,Lunar Rock,61005,71862,71862.0,0,61005,Factory to port,False,,,,5TFJC5DB0SX01A255,Serra Toyota of Traverse City,MI,50 State Emissions | All-Weather Floor Liners[installed_msrp] | Door Edge Guards: Stainless Steel[installed_msrp] | Heated Leather-Wrapped Steering Wheel | JBL® Premium Audio | Limited PVM Package | Limited Power Package | Limited Premium Package | PVM + BSM Outer Mirrors | Panoramic Roof | Spare Tire Lock[installed_msrp] | Spray-On Bedliner[installed_msrp] | TRD 3-in. Suspension Lift Lit[installed_msrp] | Tailgate Insert Badge - Black[installed_msrp]
2025,Tundra Limited 4x4,Lunar Rock,61005,68411,68411.0,0,61005,Factory to port,False,,,,5TFJC5DB0SX02B403,Tansky Sawmill Toyota,OH,50 State Emissions | All-Weather Floor Liners[installed_msrp] | BedStep®[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards: Stainless Steel[installed_msrp] | Dual Step Running Boards: Black[installed_msrp] | Exhaust Tip - Black Chrome[installed_msrp] | Heated Leather-Wrapped Steering Wheel | JBL® Premium Audio | Limited PVM Package | Limited Power Package | Limited Premium Package | PVM + BSM Outer Mirrors | Panoramic Roof | Tailgate Insert Badge - Black[installed_msrp]
2025,Tundra Limited 4x4,Magnetic Gray Metallic,61005,67002,0.0,0,61005,Factory to port,False,DealerHold,2024-12-26T05:00:00.000Z,2024-12-31T05:00:00.000Z,5TFJC5DB0SX089339,Wesley Chapel Toyota,FL,50 State Emissions | 6-Gallons of Gas | Bed Step | Center Console Safe | Clear Paint Protection - Door Package | Dual Step Running Board - Black | Phone Cable Charge Package | SET Digital Portfolio | SmartLED Ambient Lighting | Spray-in Bedliner | TOYOGUARD Platinum
