Year,Model,Color,Base MSRP,Total MSRP,Selling Price,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,eta.currFromDate,eta.currToDate,VIN,Dealer,Dealer State,Options
2024,LE AWD,Black,35070,36774,0.0,0,35070,At dealer,False,,,,JTEAAAAH0RJ171135,K-M Toyota,MA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp]
2024,XLE AWD,Coastal Gray Metallic,39280,42577,0.0,0,39280,At dealer,False,Available,,2024-07-30T00:00:00.000Z,JTEAAAAH0RJ185665,Toyota of Killeen,TX,50 State Emissions | Connectivity Kit | Integrated Dashcam | Owner's Portfolio | PDS - with Texas State Inspection | Premium Carpet Mat Set: | Roof Rack Cross Bars | Vehicle Fueling (4 Gal.) | Vehicle Protection Premium Package:
2024,XLE AWD,Titanium Glow,39280,41424,0.0,0,39280,At dealer,False,,2024-12-10,2024-12-14,JTEAAAAH0RJ186685,Colonial Toyota,CT,50 State Emissions | Alloy Wheel Locks[installed_msrp] | Carpet Mat Package[installed_msrp] | Roof Rack Cross Bars[installed_msrp]
2024,XLE AWD,Blueprint,39280,42159,0.0,0,39280,At dealer,False,Available,2024-12-12,2024-12-12,JTEAAAAH0RJ186721,Advantage Toyota,NY,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Door Edge Guards[installed_msrp] | JBL® Premium Audio | Roof Rack Cross Bars[installed_msrp]
2024,XLE AWD,Coastal Gray Metallic,39280,42139,0.0,0,39280,At dealer,False,Available,2024-12-10,2024-12-10,JTEAAAAH0RJ186735,Balise Toyota,MA,50 State Emissions | Activity Mount[installed_msrp] | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | JBL® Premium Audio | Quick Charging Cable Package[installed_msrp]
2024,XLE AWD,Titanium Glow,39280,41984,0.0,0,39280,At dealer,False,DealerHold,2024-12-10,2024-12-11,JTEAAAAH0RJ186752,Empire Toyota of Huntington,NY,50 State Emissions | Alloy Wheel Locks[installed_msrp] | Carpet Mat Package[installed_msrp] | Door Edge Guards[installed_msrp] | Emergency Assistance Kit[installed_msrp] | JBL® Premium Audio | Quick Charging Cable Package[installed_msrp]
2024,LE AWD,Titanium Glow,35070,36909,0.0,0,35070,At dealer,False,Available,2024-12-14,2024-12-14,JTEAAAAH0RJ186783,Wilsonville Toyota,OR,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Quick Charging Cable Package[installed_msrp]
2024,XLE AWD,Coastal Gray Metallic,39280,41708,39889.0,0,39280,Port to dealer,False,Available,2024-12-24,2024-12-31,JTEAAAAH0RJ186864,Bell Road Toyota,AZ,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Preferred Accessory Package w/ Carpet Mats[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Roof Rack Cross Bars[installed_msrp]
2024,XLE AWD,Wind Chill Pearl,39280,42334,42334.0,0,39280,At dealer,False,,2024-12-12,2024-12-12,JTEAAAAH0RJ186878,802 Toyota,VT,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Door Edge Guards[installed_msrp] | JBL® Premium Audio | Quick Charging Cable Package[installed_msrp] | Special Color
2024,LE AWD,Black,35070,37010,0.0,0,35070,At dealer,False,,2024-12-19,2024-12-19,JTEAAAAH0RJ186931,Summit Toyota of Akron,OH,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Door Edge Guards[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Venza Owner's Portfolio[installed_msrp]
2024,LE AWD,Blueprint,35070,36844,0.0,0,35070,At dealer,False,,2024-12-11,2024-12-11,JTEAAAAH0RJ186976,Centennial Toyota,NV,50 State Emissions | Carpet Mat Package[installed_msrp] | Quick Charging Cable Package[installed_msrp]
2024,LE AWD,Black,35070,37049,37049.0,0,35070,At dealer,True,,2024-12-11,2024-12-12,JTEAAAAH0RJ187030,Star Toyota of Bayside,NY,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Door Edge Guards[installed_msrp]
2024,XLE AWD,Blueprint,39280,41264,0.0,0,39280,At dealer,False,,2024-12-11,2024-12-11,JTEAAAAH0RJ187058,McDonough Toyota,VA,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Door Edge Guards[installed_msrp] | Quick Charging Cable Package[installed_msrp]
2024,LE AWD,Black,35070,36850,0.0,0,35070,Port to dealer,False,DealerHold,2024-12-23,2024-12-24,JTEAAAAH0RJ187061,Big Two Toyota of Chandler,AZ,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Venza Owner's Portfolio[installed_msrp]
2024,XLE AWD,Wind Chill Pearl,39280,42429,0.0,0,39280,At dealer,False,DealerHold,2024-12-10,2024-12-10,JTEAAAAH0RJ187075,Toyota of Massapequa,NY,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | JBL® Premium Audio | Roof Rack Cross Bars[installed_msrp] | Special Color
2024,XLE AWD,Blueprint,39280,42854,39959.0,0,39280,At dealer,False,,2024-12-06,2024-12-06,JTEAAAAH0RJ187271,Sansone Toyota,NJ,50 State Emissions | Activity Package[installed_msrp] | All-Weather Floor Liner Package[installed_msrp] | Door Edge Guards[installed_msrp] | Integrated Dashcam[installed_msrp] | JBL® Premium Audio
2024,XLE AWD,Celestial Black,39280,42179,0.0,0,39280,At dealer,False,,2024-12-13,2024-12-13,JTEAAAAH0RJ187321,Toyota of Runnemede,NJ,50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | JBL® Premium Audio | Quick Charging Cable Package[installed_msrp] | Special Color
