-------------------------------------------------------------------------- 
outputResultsMethod: outputAllSearchResultsOnChange
Match criteria is: df[(df["Model"].str.contains("XSE")) & (df["Pre-Sold"] == False) & (df["Hold Status"].isin(["Available", None, "", "DealerHold"])) & ((df["Markup"] <= 1000) & ((df["Selling Price"].isin([None])) | (df["Selling Price"] <= (df["Total MSRP"] + 1000)) )) & (df["Dealer State"].isin(["IA", "IL", "IN", "MO", "WI", "MN", "KS", "NE", "ND"])) & ( df["Options"].str.contains("Premium Package") & df["Options"].str.contains("Weather Package"))]
Username: ghgemmer
The following list of matching units was found on: 2024-12-06 06:53:35. Central Standard Time
2024-12-06 06:53:35. Central Standard Time:,   ***MODED Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Blueprint/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	53553	Selling Price: 	53553.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	None	eta.currFromDate: 	2025-01-30	eta.currToDate: 	2025-03-07	VIN: 	JTMFB3FV0S149CF67	Dealer: 	Joe Machens Toyota	Dealer State: 	MO	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Connected Services Trial Offering: 2 addt'l yrs of Drive Connect & Remote Connect[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Rear Bumper Applique[installed_msrp] | Weather Package	Names Of Modified Fields: eta.currFromDate :: None --> 2025-01-30 || eta.currToDate :: None --> 2025-03-07 || 
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Blueprint/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	53192	Selling Price: 	53192.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	Available	eta.currFromDate: 	2024-12-18	eta.currToDate: 	2025-01-22	VIN: 	JTMFB3FV0SD234871	Dealer: 	Bommarito Toyota	Dealer State: 	MO	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Sill Protectors[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Owner's Portfolio | Premium Package | Rear Bumper Applique[installed_msrp] | Weather Package
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Silver Sky Metallic/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	53224	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2025-01-04	eta.currToDate: 	2025-02-07	VIN: 	JTMFB3FV0SD236605	Dealer: 	Cedar Rapids Toyota, Inc.	Dealer State: 	IA	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Cross Bars[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Weather Package
2024-12-06 06:53:35. Central Standard Time:,   ***ADDED Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Magnetic Gray Metallic/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	53213	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	None	eta.currFromDate: 	2025-01-24	eta.currToDate: 	2025-03-04	VIN: 	JTMFB3FV0SD239195	Dealer: 	Sam Leman Toyota Bloomington	Dealer State: 	IL	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Weather Package
2024-12-06 06:53:35. Central Standard Time:,   ***ADDED Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Magnetic Gray Metallic/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	53692	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	None	eta.currFromDate: 	None	eta.currToDate: 	None	VIN: 	JTMFB3FV1S150CA23	Dealer: 	Toyota of Merrillville	Dealer State: 	IN	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Rear Bumper Applique[installed_msrp] | Weather Package
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Wind Chill Pearl/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	54287	Selling Price: 	54287.0	Markup: 	280	Dealer Price: 	48015	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	None	eta.currFromDate: 	2025-01-27	eta.currToDate: 	2025-03-06	VIN: 	JTMFB3FV1S150CH65	Dealer: 	Wilson Toyota	Dealer State: 	IA	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks-Chrome | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Cargo Tote | Coin Holder/Ashtray Cup | Cross Bars[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Emergency Assistance Kit | First Aid Kit w/ PPE | Mudguards[installed_msrp] | Premium Package | Premium Paint | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Weather Package
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Silver Sky Metallic/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	53762	Selling Price: 	54162.0	Markup: 	400	Dealer Price: 	48135	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2024-12-18	eta.currToDate: 	2025-01-16	VIN: 	JTMFB3FV1SD234846	Dealer: 	Anderson Toyota	Dealer State: 	IL	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | SHADOWMARK  | Weather Package
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Silver Sky Metallic/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	53124	Selling Price: 	53124.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	None	eta.currFromDate: 	2025-01-08	eta.currToDate: 	2025-02-07	VIN: 	JTMFB3FV1SD237715	Dealer: 	Baxter Toyota of La Vista	Dealer State: 	NE	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | First Aid Kit[installed_msrp] | Premium Package | Quick Charging Cable Package[installed_msrp] | Weather Package
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Magnetic Gray Metallic/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	53602	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2025-01-19	eta.currToDate: 	2025-02-24	VIN: 	JTMFB3FV1SD238248	Dealer: 	Kari Toyota	Dealer State: 	WI	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Rear Bumper Applique[installed_msrp] | Weather Package
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Wind Chill Pearl/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	53768	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2024-12-18	eta.currToDate: 	2025-01-20	VIN: 	JTMFB3FV2SD235407	Dealer: 	Hendrick Toyota Merriam	Dealer State: 	KS	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Cross Bars[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Premium Paint | Rear Bumper Applique[installed_msrp] | Weather Package
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Supersonic Red/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	52894	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2025-01-13	eta.currToDate: 	2025-02-17	VIN: 	JTMFB3FV2SD237898	Dealer: 	Cedar Rapids Toyota, Inc.	Dealer State: 	IA	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Premium Package | Premium Paint | Weather Package
2024-12-06 06:53:35. Central Standard Time:,   ***ADDED Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Magnetic Gray Metallic/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	54077	Selling Price: 	54077.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	None	eta.currFromDate: 	None	eta.currToDate: 	None	VIN: 	JTMFB3FV3S150CA24	Dealer: 	Newbold Toyota	Dealer State: 	IL	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Cross Bars[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Weather Package
