-------------------------------------------------------------------------- 
outputResultsMethod: outputAllSearchResultsOnChange
Match criteria is: df[(df["Model"].str.contains("XSE")) & (df["Pre-Sold"] == False) & (df["Hold Status"].isin(["Available", None, "", "DealerHold"])) & ((df["Markup"] <= 1000) & ((df["Selling Price"].isin([None])) | (df["Selling Price"] <= (df["Total MSRP"] + 1000)) )) & (df["Dealer State"].isin(["IA", "IL", "IN", "MO", "WI", "MN", "KS", "NE", "ND"])) & ( df["Options"].str.contains("Premium Package") & df["Options"].str.contains("Weather Package"))]
Username: ghgemmer
The following list of matching units was found on: 2024-11-10 21:51:04. Central Standard Time
2024-11-10 21:51:04. Central Standard Time:,   ***ADDED Unit Details ->	Year: 	2024	Model: 	XSE AWD	Color: 	Magnetic Gray Metallic/Midnight Black Metallic Roof	Base MSRP: 	47560	Total MSRP: 	53088	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47560	Shipping Status: 	Port to dealer	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2024-11-10	eta.currToDate: 	2024-11-27	VIN: 	JTMFB3FV2RD229682	Dealer: 	Lewis Toyota of Hays	Dealer State: 	KS	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather Package
2024-11-10 21:51:04. Central Standard Time:,   ***ADDED Unit Details ->	Year: 	2024	Model: 	XSE AWD	Color: 	Magnetic Gray Metallic/Midnight Black Metallic Roof	Base MSRP: 	47560	Total MSRP: 	52443	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47560	Shipping Status: 	At dealer	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	None	eta.currToDate: 	None	VIN: 	JTMFB3FV2RD230492	Dealer: 	Don Jacobs Toyota	Dealer State: 	WI	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Rear Bumper Applique[installed_msrp] | Weather Package
2024-11-10 21:51:04. Central Standard Time:,   ***ADDED Unit Details ->	Year: 	2024	Model: 	XSE AWD	Color: 	Magnetic Gray Metallic/Midnight Black Metallic Roof	Base MSRP: 	47560	Total MSRP: 	53532	Selling Price: 	53532.0	Markup: 	0	Dealer Price: 	47560	Shipping Status: 	Port to dealer	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2024-11-16	eta.currToDate: 	2024-11-26	VIN: 	JTMFB3FV2RD231108	Dealer: 	Chicago Northside Toyota	Dealer State: 	IL	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Weather Package
2024-11-10 21:51:04. Central Standard Time:,   ***ADDED Unit Details ->	Year: 	2024	Model: 	XSE AWD	Color: 	Wind Chill Pearl/Midnight Black Metallic Roof	Base MSRP: 	47560	Total MSRP: 	53048	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47560	Shipping Status: 	Port to dealer	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2024-11-11	eta.currToDate: 	2024-11-14	VIN: 	JTMFB3FV3RD228797	Dealer: 	Jay Wolfe Toyota of West County	Dealer State: 	MO	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Premium Package | Rear Bumper Applique[installed_msrp] | Special Color | Weather Package
2024-11-10 21:51:04. Central Standard Time:,   ***ADDED Unit Details ->	Year: 	2024	Model: 	XSE AWD	Color: 	Wind Chill Pearl/Midnight Black Metallic Roof	Base MSRP: 	47560	Total MSRP: 	53033	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47560	Shipping Status: 	Port to dealer	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2024-11-12	eta.currToDate: 	2024-11-28	VIN: 	JTMFB3FV3RD230694	Dealer: 	Lou Fusz Toyota	Dealer State: 	MO	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Premium Package | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Special Color | Weather Package
2024-11-10 21:51:04. Central Standard Time:,   ***ADDED Unit Details ->	Year: 	2024	Model: 	XSE AWD	Color: 	Supersonic Red/Midnight Black Metallic Roof	Base MSRP: 	47560	Total MSRP: 	54086	Selling Price: 	54086.0	Markup: 	0	Dealer Price: 	47560	Shipping Status: 	Port to dealer	Pre-Sold: 	False	Hold Status: 	Available	eta.currFromDate: 	2024-11-24	eta.currToDate: 	2024-12-15	VIN: 	JTMFB3FV3RD232204	Dealer: 	Bommarito Toyota	Dealer State: 	MO	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Mudguards[installed_msrp] | Paint Protection Film (Hood, Fenders, Mirror Backs & Door Cups)[installed_msrp] | Premium Package | Rear Bumper Applique[installed_msrp] | Special Color | Weather Package
2024-11-10 21:51:04. Central Standard Time:,   ***ADDED Unit Details ->	Year: 	2024	Model: 	XSE AWD	Color: 	Wind Chill Pearl/Midnight Black Metallic Roof	Base MSRP: 	47560	Total MSRP: 	53911	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47560	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2024-12-03	eta.currToDate: 	2025-01-02	VIN: 	JTMFB3FV3RD233269	Dealer: 	Pauly Toyota	Dealer State: 	IL	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Mudguards[installed_msrp] | Paint Protection Film (Hood, Fenders, Mirror Backs & Door Cups)[installed_msrp] | Premium Package | Rear Bumper Applique[installed_msrp] | Special Color | Weather Package
2024-11-10 21:51:04. Central Standard Time:,   ***ADDED Unit Details ->	Year: 	2024	Model: 	XSE AWD	Color: 	Supersonic Red/Midnight Black Metallic Roof	Base MSRP: 	47560	Total MSRP: 	52987	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47560	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2024-12-18	eta.currToDate: 	2025-01-20	VIN: 	JTMFB3FV3RD233739	Dealer: 	Wagner Toyota	Dealer State: 	NE	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Door Sill Protectors[installed_msrp] | Owner's Portfolio | Premium Package | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Special Color | Weather Package
2024-11-10 21:51:04. Central Standard Time:,   ***ADDED Unit Details ->	Year: 	2024	Model: 	XSE AWD	Color: 	Silver Sky Metallic/Midnight Black Metallic Roof	Base MSRP: 	47560	Total MSRP: 	53372	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47560	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	None	eta.currFromDate: 	2024-12-17	eta.currToDate: 	2025-01-16	VIN: 	JTMFB3FV3RD233949	Dealer: 	Hendrick Toyota Merriam	Dealer State: 	KS	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Mudguards[installed_msrp] | Paint Protection Film (Hood, Fenders, Mirror Backs & Door Cups)[installed_msrp] | Premium Package | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather Package
2024-11-10 21:51:04. Central Standard Time:,   ***ADDED Unit Details ->	Year: 	2024	Model: 	XSE AWD	Color: 	Magnetic Gray Metallic/Midnight Black Metallic Roof	Base MSRP: 	47560	Total MSRP: 	53397	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47560	Shipping Status: 	Port to dealer	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2024-11-20	eta.currToDate: 	2024-12-23	VIN: 	JTMFB3FV4RD232213	Dealer: 	Quality Toyota of Independence	Dealer State: 	KS	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Owner's Portfolio | Premium Package | Rear Bumper Applique[installed_msrp] | Weather Package
2024-11-10 21:51:04. Central Standard Time:,   ***ADDED Unit Details ->	Year: 	2024	Model: 	XSE AWD	Color: 	Magnetic Gray Metallic/Midnight Black Metallic Roof	Base MSRP: 	47560	Total MSRP: 	55110	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47560	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2024-12-07	eta.currToDate: 	2025-01-06	VIN: 	JTMFB3FV4RD234091	Dealer: 	Orland Toyota	Dealer State: 	IL	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Connected Services Trial Offering: 2 addt'l yrs of Drive Connect & Remote Connect[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | First Aid Kit w/ PPE[installed_msrp] | Fog Light Accent[installed_msrp] | Integrated Dashcam[installed_msrp] | Mudguards[installed_msrp] | Owner's Portfolio | Paint Protection Film (Hood, Fenders, Mirror Backs & Door Cups)[installed_msrp] | Premium Package | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Universal Tablet Holder[installed_msrp] | Weather Package
