Year,Model,Color,Base MSRP,Total MSRP,Selling Price,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,eta.currFromDate,eta.currToDate,VIN,Dealer,Dealer State,Options
2023,SE AWD,Midnight Black Metallic,43090,47108,,2488,45578,At dealer,False,Available,,,JTMAB3FV0PD145741,Toyota of Plano,TX,** -Port Installed (AWD) | ** -Port Installed (PRM) | 50 State Emissions | Connectivity Kit | Cross Bars for Roof Rail | Mud Guards | PDS - with Texas State Inspection | Premium Carpet Mat Set | TOP 2023 | Weather & Moonroof Package
2024,SE AWD,Ice Cap,43440,47118,,0,43440,At dealer,False,Available,2024-01-31,2024-02-01,JTMAB3FV0RD179617,DARCARS Toyota,MD,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Mudguards[installed_msrp] | Quick Charge Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Weather & Moonroof Package
2024,SE AWD,Supersonic Red,43440,47823,,0,43440,At dealer,False,DealerHold,2024-02-16,2024-02-20,JTMAB3FV0RD181609,DARCARS Toyota,MD,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Special Color | Weather & Moonroof Package
2024,SE AWD,Magnetic Gray Metallic,43440,47723,,0,43440,At dealer,False,,2024-02-16,2024-02-18,JTMAB3FV0RD183635,Perry Motors Toyota,CA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Frameless Homelink® Mirror[installed_msrp] | Quick Charge Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2024,SE AWD,Blueprint,43690,47014,47014.0,0,43690,At dealer,False,DealerHold,2024-05-08,2024-05-08,JTMAB3FV0RD200787,Dayton Toyota,NJ,50 State Emissions | All-Weather Liner Package[installed_msrp] | Weather & Moonroof Package
2024,SE AWD,Magnetic Gray Metallic,43690,47574,,0,43690,At dealer,False,DealerHold,2024-06-04,2024-06-04,JTMAB3FV0RD202264,Kinderhook Toyota,NY,50 State Emissions | All-Weather Liner Package[installed_msrp] | First Aid Kit w/ PPE[installed_msrp] | Mudguards[installed_msrp] | Quick Charge Cable Package[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2024,SE AWD,Silver Sky Metallic,43690,47693,47693.0,0,43690,At dealer,False,DealerHold,2024-06-24,2024-06-24,JTMAB3FV0RD207335,West Herr Toyota of Orchard Park,NY,50 State Emissions | All-Weather Liner Package[installed_msrp] | Cargo Net - Spider[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2024,SE AWD,Ice Cap,43690,48118,,0,43690,At dealer,False,DealerHold,2024-08-07,2024-08-11,JTMAB3FV0RD213457,Keyes Toyota,CA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Frameless Homelink® Mirror[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2024,SE AWD,Ice Cap,43690,47384,46199.4,0,43690,At dealer,False,,,,JTMAB3FV0RD213538,Toyota of Watertown,MA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Weather & Moonroof Package
2024,SE AWD,Magnetic Gray Metallic,43690,47059,47059.0,0,43690,Port to dealer,False,Available,2024-08-16,2024-08-23,JTMAB3FV0RD214138,Valenti Toyota,RI,50 State Emissions | All-Weather Liner Package[installed_msrp] | Weather & Moonroof Package
