Year,Model,Color,Base MSRP,Total MSRP,Selling Price,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State,Options
2023,SE AWD,Ice Cap,43090,46798,46798.0,0.0,43090.0,Factory to port,False,,JTMAB3FV0P135CV41,Hillside Toyota,NY,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Body Side Moldings[installed_msrp] | Owner's Portfolio | Rear Bumper Applique[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Blueprint,43090,46957,46957.0,0.0,43090.0,Factory to port,False,,JTMAB3FV0P135CW05,Johnstons Toyota,NY,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Mudguards[installed_msrp] | Owner's Portfolio | Weather & Moonroof Package
2023,SE AWD,Blueprint,43090,46987,,0.0,43090.0,At dealer,False,DealerHold,JTMAB3FV0PD138336,Tufankjian Toyota of Braintree,MA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Magnetic Gray Metallic,43090,46528,,0.0,43090.0,At dealer,False,,JTMAB3FV0PD140474,Bill Kidd's Timonium Toyota,MD,50 State Emissions | All-Weather Liner Package[installed_msrp] | Mudguards[installed_msrp] | Owner's Portfolio | Weather & Moonroof Package
2023,SE AWD,Supersonic Red,43090,47023,,0.0,43090.0,At dealer,False,,JTMAB3FV0PD140586,Toyota of Bowie,MD,50 State Emissions | All-Weather Liner Package[installed_msrp] | Mudguards[installed_msrp] | Owner's Portfolio | Quick Charge Cable Package[installed_msrp] | Special Color | Weather & Moonroof Package
2023,SE AWD,Blueprint,43090,47451,47451.0,0.0,43090.0,At dealer,False,Available,JTMAB3FV0PD140698,Waite Toyota,NY,50 State Emissions | All-Weather Liner Package[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Frameless Homelink® Mirror[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Silver Sky Metallic,43090,46944,,0.0,43090.0,At dealer,False,Available,JTMAB3FV0PD140717,Jaffarian Toyota,MA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Door Edge Guards[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Supersonic Red,43090,47188,,0.0,43090.0,Port to dealer,False,DealerHold,JTMAB3FV0PD140829,Jim Coleman Toyota,MD,50 State Emissions | All-Weather Liner Package[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Owner's Portfolio | Quick Charge Cable Package[installed_msrp] | Special Color | Weather & Moonroof Package
2023,SE AWD,Supersonic Red,43090,46889,44629.34,0.0,43090.0,At dealer,False,Available,JTMAB3FV0PD143472,Toyota of Dartmouth,MA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Special Color | Weather & Moonroof Package
2023,SE AWD,Ice Cap,43090,47127,,0.0,43090.0,At dealer,False,Available,JTMAB3FV0PD144167,Herb Chambers Toyota of Boston,MA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
