Year,Model,Color,Base MSRP,Total MSRP,Selling Price,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,eta.currFromDate,eta.currToDate,VIN,Dealer,Dealer State,Options
2024,SE AWD,Midnight Black Metallic,43690,48276,0.0,0,43690,At dealer,False,DealerHold,2024-08-28T04:00:00.000Z,2024-09-02T04:00:00.000Z,JTMAB3FV0RD217251,I-95 Toyota of Brunswick,GA,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats with Carpet Cargo Mat | Clear Paint Protection - Door Package | Multimedia Screen Protector | SET Digital Portfolio | TOYOGUARD Platinum | Weather & Moonroof Package -
2024,SE AWD,Midnight Black Metallic,43690,47658,47658.0,0,43690,At dealer,False,,2024-10-24,2024-10-24,JTMAB3FV0RD224331,Sunrise Toyota North,NY,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2024,SE AWD,Magnetic Gray Metallic,43690,48146,0.0,0,43690,At dealer,False,Available,2024-10-08T04:00:00.000Z,2024-10-13T04:00:00.000Z,JTMAB3FV0RD225821,Coggin Toyota at the Avenues,FL,50 State Emissions | 6-Gallons of Gas | Clear Paint Protection - Door Package | Cross Bars | Phone Cable Charge Package | Southeast Toyota Distributor | TOYOGUARD Platinum | Weather & Moonroof Package -
2024,SE AWD,Supersonic Red,43690,48517,0.0,0,43690,At dealer,False,,,,JTMAB3FV0RD227004,Nelson Toyota,VA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Cargo Net - Spider[installed_msrp] | Door Sill Protectors[installed_msrp] | Fog Light Accent[installed_msrp] | Frameless Homelink® Mirror[installed_msrp] | Special Color | Weather & Moonroof Package
2024,SE AWD,Ice Cap,43690,48655,0.0,0,43690,At dealer,False,Available,2024-10-21T04:00:00.000Z,2024-10-26T04:00:00.000Z,JTMAB3FV0RD227648,Cobb County Toyota,GA,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats with Carpet Cargo Mat | Clear Paint Protection - Full Hood Package | Multimedia Screen Protector | Phone Cable Charge Package | SET Digital Portfolio | TOYOGUARD Platinum | Weather & Moonroof Package -
2024,SE AWD,Midnight Black Metallic,43690,48256,0.0,1999,45689,At dealer,False,Available,2024-11-12T00:00:00.000Z,2024-11-16T00:00:00.000Z,JTMAB3FV0RD230307,Joe Myers Toyota,TX,** -Port Installed (AWD) | ** -Port Installed (PRM) | 50 State Emissions | Connectivity Kit | Door Sill Protectors | Mud Guards | Owner's Portfolio | PDS - with Texas State Inspection | Premium Carpet Mat Set: | Rear Cargo Organizer | VIP PROTECTION PACKAGE | Vehicle Fueling (4 Gal.) | Vehicle Protection Package | Weather & Moonroof Package
2024,SE AWD,Silver Sky Metallic,43690,47209,0.0,0,43690,At dealer,False,DealerHold,,,JTMAB3FV0RD230548,Down East Toyota,ME,50 State Emissions | All-Weather Liner Package[installed_msrp] | Mudguards[installed_msrp] | Weather & Moonroof Package
2024,SE AWD,Ice Cap,43690,47124,47124.0,0,43690,At dealer,False,DealerHold,2024-11-16,2024-11-18,JTMAB3FV0RD231165,Hoselton Toyota,NY,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Weather & Moonroof Package
2024,SE AWD,Ice Cap,43690,48096,0.0,0,43690,At dealer,False,Available,2024-11-27T05:00:00.000Z,2024-12-02T05:00:00.000Z,JTMAB3FV0RD231179,Marietta Toyota,GA,50 State Emissions | 6-Gallons of Gas | Cross Bars | Phone Cable Charge Package | Rear-View Mirror with HomeLink | SET Digital Portfolio | TOYOGUARD Platinum | Weather & Moonroof Package -
2024,SE AWD,Midnight Black Metallic,43690,47518,0.0,0,43690,At dealer,False,DealerHold,2024-11-08,2024-11-08,JTMAB3FV0RD231747,Toyota of San Bernardino,CA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Weather & Moonroof Package
